运行 ID,AB index,层/投影/AB 标识,方法,实验模式,部分加密比例,骨架优化,输出维度,输入维度,可行性,精度状态,备注,相对 Frobenius 误差,最大绝对误差,平均绝对误差,CKKS 直接结果误差,骨架行列误差,CUR 重建误差,密文区域误差,明文区域误差
20260721-181805-real-d3200,94,base_model.model.model.layers.7.self_attn.q_proj.lora.default,外积,full,N/A,开,3200,3200,可行,failure,外积 CKKS skeleton,0.6195608220095989,0.0006489130402978307,2.732700330652178e-05,N/A,2.324452216259924e-05,0.6195608220095989,0.6195608220095989,N/A
20260721-181805-real-d3200,63,base_model.model.model.layers.22.self_attn.v_proj.lora.default,外积,full,N/A,开,3200,3200,可行,warning,外积 CKKS skeleton,0.08570561991249473,0.00012545636589285055,6.454783910300604e-06,N/A,1.4895539577011949e-05,0.08570561991249473,0.08570561991249473,N/A
20260721-181805-real-d3200,57,base_model.model.model.layers.21.self_attn.o_proj.lora.default,外积,full,N/A,开,3200,3200,可行,warning,外积 CKKS skeleton,0.07634347613525642,0.00021306249728693532,6.444123660020709e-06,N/A,1.1491643733657414e-05,0.07634347613525642,0.07634347613525642,N/A
20260721-181805-real-d3200,81,base_model.model.model.layers.4.self_attn.o_proj.lora.default,外积,full,N/A,开,3200,3200,可行,warning,外积 CKKS skeleton,0.06650411282320219,0.0001192552052286173,4.478836822535819e-06,N/A,1.695903322035787e-05,0.06650411282320219,0.06650411282320219,N/A
20260721-181805-real-d3200,87,base_model.model.model.layers.5.self_attn.v_proj.lora.default,外积,full,N/A,开,3200,3200,可行,warning,外积 CKKS skeleton,0.06122137076365181,0.0006004404276788195,3.634941727522991e-06,N/A,1.662658689460449e-05,0.06122137076365181,0.06122137076365181,N/A
20260721-181805-real-d3200,53,base_model.model.model.layers.20.self_attn.o_proj.lora.default,外积,full,N/A,开,3200,3200,可行,warning,外积 CKKS skeleton,0.052671852226995254,7.24512350870138e-05,3.076262748099217e-06,N/A,1.999943819555522e-05,0.052671852226995254,0.052671852226995254,N/A
20260721-181805-real-d3200,83,base_model.model.model.layers.4.self_attn.v_proj.lora.default,外积,full,N/A,开,3200,3200,可行,warning,外积 CKKS skeleton,0.024789700330438605,0.00022726614716653097,1.1099358061996374e-06,N/A,1.7640998848789152e-05,0.024789700330438605,0.024789700330438605,N/A
20260721-181805-real-d3200,10,base_model.model.model.layers.10.self_attn.q_proj.lora.default,外积,full,N/A,开,3200,3200,可行,warning,外积 CKKS skeleton,0.021118310031325953,1.5555357011659177e-05,8.037965818374657e-07,N/A,2.8527243430825143e-05,0.021118310031325953,0.021118310031325953,N/A
20260721-181805-real-d3200,1,base_model.model.model.layers.0.self_attn.o_proj.lora.default,外积,full,N/A,开,3200,3200,可行,warning,外积 CKKS skeleton,0.019670365813349713,2.989957149614127e-05,8.736808678865397e-07,N/A,2.309782211903425e-05,0.019670365813349713,0.019670365813349713,N/A
20260721-181805-real-d3200,31,base_model.model.model.layers.15.self_attn.v_proj.lora.default,外积,full,N/A,开,3200,3200,可行,warning,外积 CKKS skeleton,0.01678345768784221,1.8329792759192534e-05,9.683139364998825e-07,N/A,1.9650930832975094e-05,0.01678345768784221,0.01678345768784221,N/A
20260721-181805-real-d3200,41,base_model.model.model.layers.18.self_attn.o_proj.lora.default,外积,full,N/A,开,3200,3200,可行,warning,外积 CKKS skeleton,0.015421962168716878,1.618081689488748e-05,9.570569489867917e-07,N/A,1.647007022769405e-05,0.015421962168716878,0.015421962168716878,N/A
20260721-181805-real-d3200,58,base_model.model.model.layers.21.self_attn.q_proj.lora.default,外积,full,N/A,开,3200,3200,可行,warning,外积 CKKS skeleton,0.011896413143718398,1.6657337312253256e-05,6.254844659185656e-07,N/A,2.1222068571168198e-05,0.011896413143718398,0.011896413143718398,N/A
20260721-181805-real-d3200,92,base_model.model.model.layers.7.self_attn.k_proj.lora.default,外积,full,N/A,开,3200,3200,可行,warning,外积 CKKS skeleton,0.011895020384420096,1.0894467329030367e-05,5.42834184440028e-07,N/A,2.409797533458972e-05,0.011895020384420096,0.011895020384420096,N/A
20260721-181805-real-d3200,19,base_model.model.model.layers.12.self_attn.v_proj.lora.default,外积,full,N/A,开,3200,3200,可行,warning,外积 CKKS skeleton,0.008400807347870284,1.3293152483856857e-05,6.228520828250797e-07,N/A,1.6361672067633775e-05,0.008400807347870284,0.008400807347870284,N/A
20260721-181805-real-d3200,96,base_model.model.model.layers.8.self_attn.k_proj.lora.default,外积,full,N/A,开,3200,3200,可行,warning,外积 CKKS skeleton,0.007993888806882482,7.674319437355251e-06,3.670896964670557e-07,N/A,2.4351537927367585e-05,0.007993888806882482,0.007993888806882482,N/A
20260721-181805-real-d3200,74,base_model.model.model.layers.25.self_attn.q_proj.lora.default,外积,full,N/A,开,3200,3200,可行,warning,外积 CKKS skeleton,0.005567607514772204,5.672200264014271e-06,2.543983033406807e-07,N/A,2.3468845920768718e-05,0.005567607514772204,0.005567607514772204,N/A
20260721-181805-real-d3200,36,base_model.model.model.layers.17.self_attn.k_proj.lora.default,外积,full,N/A,开,3200,3200,可行,warning,外积 CKKS skeleton,0.005293868723715792,5.716080934494537e-06,3.1493592191126675e-07,N/A,2.2171747768134798e-05,0.005293868723715792,0.005293868723715792,N/A
20260721-181805-real-d3200,43,base_model.model.model.layers.18.self_attn.v_proj.lora.default,外积,full,N/A,开,3200,3200,可行,warning,外积 CKKS skeleton,0.004901299310680091,6.113804807353967e-06,3.096058716236358e-07,N/A,1.910473569389262e-05,0.004901299310680091,0.004901299310680091,N/A
