运行 ID,AB index,层/投影/AB 标识,方法,实验模式,部分加密比例,骨架优化,输出维度,输入维度,可行性,精度状态,备注,客户端加密秒,服务端聚合秒,客户端解密秒,CUR 秒,任务总耗时秒
20260721-181805-real-d3200,12,base_model.model.model.layers.11.self_attn.k_proj.lora.default,外积,full,N/A,开,3200,3200,可行,warning,外积 CKKS skeleton,1.586420550942421,2.2864591665565968,0.05846879631280899,0.06704272702336311,9.89198688045144
20260721-181805-real-d3200,1,base_model.model.model.layers.0.self_attn.o_proj.lora.default,外积,full,N/A,开,3200,3200,可行,warning,外积 CKKS skeleton,1.6045061955228448,2.3626317344605923,0.06995631381869316,0.058086831122636795,9.858624771237373
20260721-181805-real-d3200,11,base_model.model.model.layers.10.self_attn.v_proj.lora.default,外积,full,N/A,开,3200,3200,可行,warning,外积 CKKS skeleton,1.608095832169056,2.2851191386580467,0.05220821499824524,0.06654490903019905,9.77287483587861
20260721-181805-real-d3200,82,base_model.model.model.layers.4.self_attn.q_proj.lora.default,外积,full,N/A,开,3200,3200,可行,正常,外积 CKKS skeleton,1.595506108365953,2.338647749274969,0.046603552997112274,0.07154878228902817,9.733718954026699
20260721-181805-real-d3200,0,base_model.model.model.layers.0.self_attn.k_proj.lora.default,外积,full,N/A,开,3200,3200,可行,正常,外积 CKKS skeleton,1.5953373303636909,2.307715855538845,0.054238107055425644,0.06262368336319923,9.697184011340141
20260721-181805-real-d3200,13,base_model.model.model.layers.11.self_attn.o_proj.lora.default,外积,full,N/A,开,3200,3200,可行,warning,外积 CKKS skeleton,1.577242024242878,2.32460929825902,0.05536206066608429,0.05973665788769722,9.68375088647008
20260721-181805-real-d3200,2,base_model.model.model.layers.0.self_attn.q_proj.lora.default,外积,full,N/A,开,3200,3200,可行,warning,外积 CKKS skeleton,1.584698031656444,2.319964125752449,0.059670038521289825,0.05701705440878868,9.677588768303394
20260721-181805-real-d3200,43,base_model.model.model.layers.18.self_attn.v_proj.lora.default,外积,full,N/A,开,3200,3200,可行,warning,外积 CKKS skeleton,1.5440044477581978,2.2215060852468014,0.053065162152051926,0.09013960510492325,9.662219192832708
20260721-181805-real-d3200,87,base_model.model.model.layers.5.self_attn.v_proj.lora.default,外积,full,N/A,开,3200,3200,可行,warning,外积 CKKS skeleton,1.5495433816686273,2.2132845483720303,0.04609954357147217,0.058806437999010086,9.658869415521622
20260721-181805-real-d3200,59,base_model.model.model.layers.21.self_attn.v_proj.lora.default,外积,full,N/A,开,3200,3200,可行,warning,外积 CKKS skeleton,1.5976827684789896,2.273001864552498,0.050352275371551514,0.06532635167241096,9.65243635326624
20260721-181805-real-d3200,95,base_model.model.model.layers.7.self_attn.v_proj.lora.default,外积,full,N/A,开,3200,3200,可行,正常,外积 CKKS skeleton,1.5653527919203043,2.3719641380012035,0.05135312303900719,0.06406176835298538,9.640086978673935
20260721-181805-real-d3200,46,base_model.model.model.layers.19.self_attn.q_proj.lora.default,外积,full,N/A,开,3200,3200,可行,正常,外积 CKKS skeleton,1.5723322918638587,2.306082285940647,0.05310414731502533,0.06336371973156929,9.638559069484472
20260721-181805-real-d3200,97,base_model.model.model.layers.8.self_attn.o_proj.lora.default,外积,full,N/A,开,3200,3200,可行,warning,外积 CKKS skeleton,1.5836143866181374,2.3185269199311733,0.04868178442120552,0.06437847390770912,9.616651106625795
20260721-181805-real-d3200,36,base_model.model.model.layers.17.self_attn.k_proj.lora.default,外积,full,N/A,开,3200,3200,可行,warning,外积 CKKS skeleton,1.5775666534900665,2.3068986013531685,0.0500795841217041,0.06462204456329346,9.61249366775155
20260721-181805-real-d3200,94,base_model.model.model.layers.7.self_attn.q_proj.lora.default,外积,full,N/A,开,3200,3200,可行,failure,外积 CKKS skeleton,1.5862338906154037,2.257107190787792,0.048285797238349915,0.07033639773726463,9.594424705952406
20260721-181805-real-d3200,44,base_model.model.model.layers.19.self_attn.k_proj.lora.default,外积,full,N/A,开,3200,3200,可行,正常,外积 CKKS skeleton,1.5839887438341975,2.258895866572857,0.05262183025479317,0.06287243589758873,9.588742557913065
20260721-181805-real-d3200,35,base_model.model.model.layers.16.self_attn.v_proj.lora.default,外积,full,N/A,开,3200,3200,可行,正常,外积 CKKS skeleton,1.57406447827816,2.290190167725086,0.05909300968050957,0.06176348030567169,9.588492799550295
20260721-181805-real-d3200,93,base_model.model.model.layers.7.self_attn.o_proj.lora.default,外积,full,N/A,开,3200,3200,可行,warning,外积 CKKS skeleton,1.5819533923640847,2.272555585950613,0.04645108804106712,0.06344255805015564,9.588275961577892
20260721-181805-real-d3200,24,base_model.model.model.layers.14.self_attn.k_proj.lora.default,外积,full,N/A,开,3200,3200,可行,正常,外积 CKKS skeleton,1.571957003325224,2.307471290230751,0.04985985532402992,0.060844242572784424,9.574473656713963
20260721-181805-real-d3200,72,base_model.model.model.layers.25.self_attn.k_proj.lora.default,外积,full,N/A,开,3200,3200,可行,warning,外积 CKKS skeleton,1.5744093442335725,2.2771910279989243,0.04685137793421745,0.06394266709685326,9.572971012443304
