运行 ID,AB index,层/投影/AB 标识,方法,实验模式,部分加密比例,骨架优化,输出维度,输入维度,可行性,精度状态,备注,上传密文字节,上传明文字节,上传元数据字节,上传合计字节,下发密文字节,下发明文字节,下发元数据字节,下发合计字节,聚合阶段总网络字节
20260721-181805-real-d3200,0,base_model.model.model.layers.0.self_attn.k_proj.lora.default,外积,full,N/A,开,3200,3200,可行,正常,外积 CKKS skeleton,320921506,0,1740288,322661794,3936510,0,435072,4371582,327033376.0
20260721-181805-real-d3200,1,base_model.model.model.layers.0.self_attn.o_proj.lora.default,外积,full,N/A,开,3200,3200,可行,warning,外积 CKKS skeleton,320922545,0,1740288,322662833,3936510,0,435072,4371582,327034415.0
20260721-181805-real-d3200,2,base_model.model.model.layers.0.self_attn.q_proj.lora.default,外积,full,N/A,开,3200,3200,可行,warning,外积 CKKS skeleton,320914954,0,1740288,322655242,3936510,0,435072,4371582,327026824.0
20260721-181805-real-d3200,3,base_model.model.model.layers.0.self_attn.v_proj.lora.default,外积,full,N/A,开,3200,3200,可行,正常,外积 CKKS skeleton,320904707,0,1740288,322644995,3936510,0,435072,4371582,327016577.0
20260721-181805-real-d3200,4,base_model.model.model.layers.1.self_attn.k_proj.lora.default,外积,full,N/A,开,3200,3200,可行,正常,外积 CKKS skeleton,320914534,0,1740288,322654822,3936510,0,435072,4371582,327026404.0
20260721-181805-real-d3200,5,base_model.model.model.layers.1.self_attn.o_proj.lora.default,外积,full,N/A,开,3200,3200,可行,正常,外积 CKKS skeleton,320923493,0,1740288,322663781,3936510,0,435072,4371582,327035363.0
20260721-181805-real-d3200,6,base_model.model.model.layers.1.self_attn.q_proj.lora.default,外积,full,N/A,开,3200,3200,可行,正常,外积 CKKS skeleton,320914789,0,1740288,322655077,3936510,0,435072,4371582,327026659.0
20260721-181805-real-d3200,7,base_model.model.model.layers.1.self_attn.v_proj.lora.default,外积,full,N/A,开,3200,3200,可行,正常,外积 CKKS skeleton,320922272,0,1740288,322662560,3936510,0,435072,4371582,327034142.0
20260721-181805-real-d3200,8,base_model.model.model.layers.10.self_attn.k_proj.lora.default,外积,full,N/A,开,3200,3200,可行,warning,外积 CKKS skeleton,320920351,0,1740288,322660639,3936510,0,435072,4371582,327032221.0
20260721-181805-real-d3200,9,base_model.model.model.layers.10.self_attn.o_proj.lora.default,外积,full,N/A,开,3200,3200,可行,正常,外积 CKKS skeleton,320926739,0,1740288,322667027,3936510,0,435072,4371582,327038609.0
20260721-181805-real-d3200,10,base_model.model.model.layers.10.self_attn.q_proj.lora.default,外积,full,N/A,开,3200,3200,可行,warning,外积 CKKS skeleton,320922677,0,1740288,322662965,3936510,0,435072,4371582,327034547.0
20260721-181805-real-d3200,11,base_model.model.model.layers.10.self_attn.v_proj.lora.default,外积,full,N/A,开,3200,3200,可行,warning,外积 CKKS skeleton,320921409,0,1740288,322661697,3936510,0,435072,4371582,327033279.0
20260721-181805-real-d3200,12,base_model.model.model.layers.11.self_attn.k_proj.lora.default,外积,full,N/A,开,3200,3200,可行,warning,外积 CKKS skeleton,320920814,0,1740288,322661102,3936510,0,435072,4371582,327032684.0
