运行 ID,AB index,层/投影/AB 标识,方法,实验模式,部分加密比例,骨架优化,输出维度,输入维度,可行性,精度状态,备注,相对 Frobenius 误差,最大绝对误差,平均绝对误差,CKKS 直接结果误差,骨架行列误差,CUR 重建误差,密文区域误差,明文区域误差
20260721-181805-real-d3200,0,base_model.model.model.layers.0.self_attn.k_proj.lora.default,外积,full,N/A,开,3200,3200,可行,正常,外积 CKKS skeleton,0.0008222937370480798,9.33229242890854e-07,4.3633965050959856e-08,N/A,2.1020367110028878e-05,0.0008222937370480798,0.0008222937370480798,N/A
20260721-181805-real-d3200,1,base_model.model.model.layers.0.self_attn.o_proj.lora.default,外积,full,N/A,开,3200,3200,可行,warning,外积 CKKS skeleton,0.019670365813349713,2.989957149614127e-05,8.736808678865397e-07,N/A,2.309782211903425e-05,0.019670365813349713,0.019670365813349713,N/A
20260721-181805-real-d3200,2,base_model.model.model.layers.0.self_attn.q_proj.lora.default,外积,full,N/A,开,3200,3200,可行,warning,外积 CKKS skeleton,0.001425249111737382,1.5412729432150716e-06,7.329104580663556e-08,N/A,2.3434548195033983e-05,0.001425249111737382,0.001425249111737382,N/A
20260721-181805-real-d3200,3,base_model.model.model.layers.0.self_attn.v_proj.lora.default,外积,full,N/A,开,3200,3200,可行,正常,外积 CKKS skeleton,0.000715870947135566,2.9560920786772602e-06,3.066893941225613e-08,N/A,2.450433922928479e-05,0.000715870947135566,0.000715870947135566,N/A
20260721-181805-real-d3200,4,base_model.model.model.layers.1.self_attn.k_proj.lora.default,外积,full,N/A,开,3200,3200,可行,正常,外积 CKKS skeleton,0.0004675558358404793,5.000409538643625e-07,2.3701912739851947e-08,N/A,2.5264334396574657e-05,0.0004675558358404793,0.0004675558358404793,N/A
20260721-181805-real-d3200,5,base_model.model.model.layers.1.self_attn.o_proj.lora.default,外积,full,N/A,开,3200,3200,可行,正常,外积 CKKS skeleton,0.000741016432473545,1.0341287933188415e-06,4.225958304243406e-08,N/A,2.080974986045838e-05,0.000741016432473545,0.000741016432473545,N/A
20260721-181805-real-d3200,6,base_model.model.model.layers.1.self_attn.q_proj.lora.default,外积,full,N/A,开,3200,3200,可行,正常,外积 CKKS skeleton,0.0009727616296641643,9.566662776590849e-07,5.044387716960666e-08,N/A,2.387652675276162e-05,0.0009727616296641643,0.0009727616296641643,N/A
20260721-181805-real-d3200,7,base_model.model.model.layers.1.self_attn.v_proj.lora.default,外积,full,N/A,开,3200,3200,可行,正常,外积 CKKS skeleton,0.0006357812206209469,4.280927871245488e-06,3.102634804725072e-08,N/A,2.4953884685574977e-05,0.0006357812206209469,0.0006357812206209469,N/A
20260721-181805-real-d3200,8,base_model.model.model.layers.10.self_attn.k_proj.lora.default,外积,full,N/A,开,3200,3200,可行,warning,外积 CKKS skeleton,0.0019187742621863315,1.661564371127885e-06,8.079619509081789e-08,N/A,2.7505837106077356e-05,0.0019187742621863315,0.0019187742621863315,N/A
20260721-181805-real-d3200,9,base_model.model.model.layers.10.self_attn.o_proj.lora.default,外积,full,N/A,开,3200,3200,可行,正常,外积 CKKS skeleton,0.0003097394008131088,7.649555973849079e-07,2.5868667314704505e-08,N/A,1.6944428608799547e-05,0.0003097394008131088,0.0003097394008131088,N/A
