运行 ID,AB index,层/投影/AB 标识,方法,实验模式,部分加密比例,骨架优化,输出维度,输入维度,可行性,精度状态,备注,密文元素数,明文元素数,交叉块数值秩,交叉块条件数,逆方法
20260721-181805-real-d3200,0,base_model.model.model.layers.0.self_attn.k_proj.lora.default,外积,full,N/A,开,3200,3200,可行,正常,外积 CKKS skeleton,102144,0,16,10553.86067650332,inv
20260721-181805-real-d3200,1,base_model.model.model.layers.0.self_attn.o_proj.lora.default,外积,full,N/A,开,3200,3200,可行,warning,外积 CKKS skeleton,102144,0,16,411378.58928216185,inv
20260721-181805-real-d3200,2,base_model.model.model.layers.0.self_attn.q_proj.lora.default,外积,full,N/A,开,3200,3200,可行,warning,外积 CKKS skeleton,102144,0,16,22851.026414236116,inv
20260721-181805-real-d3200,3,base_model.model.model.layers.0.self_attn.v_proj.lora.default,外积,full,N/A,开,3200,3200,可行,正常,外积 CKKS skeleton,102144,0,16,8649.661917094323,inv
20260721-181805-real-d3200,4,base_model.model.model.layers.1.self_attn.k_proj.lora.default,外积,full,N/A,开,3200,3200,可行,正常,外积 CKKS skeleton,102144,0,16,1379.5360407670796,inv
20260721-181805-real-d3200,5,base_model.model.model.layers.1.self_attn.o_proj.lora.default,外积,full,N/A,开,3200,3200,可行,正常,外积 CKKS skeleton,102144,0,16,30531.66843534614,inv
20260721-181805-real-d3200,6,base_model.model.model.layers.1.self_attn.q_proj.lora.default,外积,full,N/A,开,3200,3200,可行,正常,外积 CKKS skeleton,102144,0,16,10049.437336098415,inv
20260721-181805-real-d3200,7,base_model.model.model.layers.1.self_attn.v_proj.lora.default,外积,full,N/A,开,3200,3200,可行,正常,外积 CKKS skeleton,102144,0,16,9136.155635670328,inv
20260721-181805-real-d3200,8,base_model.model.model.layers.10.self_attn.k_proj.lora.default,外积,full,N/A,开,3200,3200,可行,warning,外积 CKKS skeleton,102144,0,16,6888.93851224507,inv
20260721-181805-real-d3200,9,base_model.model.model.layers.10.self_attn.o_proj.lora.default,外积,full,N/A,开,3200,3200,可行,正常,外积 CKKS skeleton,102144,0,16,4087.773921817549,inv
20260721-181805-real-d3200,10,base_model.model.model.layers.10.self_attn.q_proj.lora.default,外积,full,N/A,开,3200,3200,可行,warning,外积 CKKS skeleton,102144,0,16,27079.393841732934,inv
20260721-181805-real-d3200,11,base_model.model.model.layers.10.self_attn.v_proj.lora.default,外积,full,N/A,开,3200,3200,可行,warning,外积 CKKS skeleton,102144,0,16,12080.179556622335,inv
