运行 ID,AB index,层/投影/AB 标识,方法,实验模式,部分加密比例,骨架优化,输出维度,输入维度,可行性,精度状态,备注,上传密文字节,上传明文字节,上传元数据字节,上传合计字节,下发密文字节,下发明文字节,下发元数据字节,下发合计字节,聚合阶段总网络字节
20260721-192828-real-d3200-outer-partial_A-ratio1-full,84,base_model.model.model.layers.5.self_attn.k_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,171166082,2608332800,327782400,3107281282,4198944,81100800,81945600,167245344,3274526626.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,49,base_model.model.model.layers.2.self_attn.o_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,171165970,2608332800,327782400,3107281170,4198944,81100800,81945600,167245344,3274526514.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,59,base_model.model.model.layers.21.self_attn.v_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,171165395,2608332800,327782400,3107280595,4198944,81100800,81945600,167245344,3274525939.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,55,base_model.model.model.layers.20.self_attn.v_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,171165157,2608332800,327782400,3107280357,4198944,81100800,81945600,167245344,3274525701.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,36,base_model.model.model.layers.17.self_attn.k_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,171164313,2608332800,327782400,3107279513,4198944,81100800,81945600,167245344,3274524857.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,2,base_model.model.model.layers.0.self_attn.q_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,171163293,2608332800,327782400,3107278493,4198944,81100800,81945600,167245344,3274523837.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,75,base_model.model.model.layers.25.self_attn.v_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,171162787,2608332800,327782400,3107277987,4198944,81100800,81945600,167245344,3274523331.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,60,base_model.model.model.layers.22.self_attn.k_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,171162208,2608332800,327782400,3107277408,4198944,81100800,81945600,167245344,3274522752.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,14,base_model.model.model.layers.11.self_attn.q_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,171161841,2608332800,327782400,3107277041,4198944,81100800,81945600,167245344,3274522385.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,56,base_model.model.model.layers.21.self_attn.k_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,171161276,2608332800,327782400,3107276476,4198944,81100800,81945600,167245344,3274521820.0
