运行 ID,AB index,层/投影/AB 标识,方法,实验模式,部分加密比例,骨架优化,输出维度,输入维度,可行性,精度状态,备注,相对 Frobenius 误差,最大绝对误差,平均绝对误差,CKKS 直接结果误差,骨架行列误差,CUR 重建误差,密文区域误差,明文区域误差
20260721-192828-real-d3200-outer-partial_A-ratio1-full,10,base_model.model.model.layers.10.self_attn.q_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,2.9237072185225895e-06,1.6799199331731716e-08,1.2404366543456469e-11,2.9237072185225895e-06,N/A,N/A,2.9012240619205153e-05,0.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,28,base_model.model.model.layers.15.self_attn.k_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,2.8258795197161094e-06,1.357162819036659e-08,1.2449137814258184e-11,2.8258795197161094e-06,N/A,N/A,2.7264847553698308e-05,0.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,8,base_model.model.model.layers.10.self_attn.k_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,2.737165794442448e-06,1.3784090647391803e-08,1.242080424617226e-11,2.737165794442448e-06,N/A,N/A,2.9352763431546028e-05,0.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,76,base_model.model.model.layers.3.self_attn.k_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,2.6512123316911286e-06,1.4405894706006001e-08,1.2416900859217379e-11,2.6512123316911286e-06,N/A,N/A,2.7106427635371742e-05,0.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,22,base_model.model.model.layers.13.self_attn.q_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,2.639253230599344e-06,1.589745287907345e-08,1.2415607773859658e-11,2.639253230599344e-06,N/A,N/A,2.8875332834352314e-05,0.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,18,base_model.model.model.layers.12.self_attn.q_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,2.6139472437086308e-06,1.6116215541036997e-08,1.2393042188707827e-11,2.6139472437086308e-06,N/A,N/A,2.8326734890804497e-05,0.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,48,base_model.model.model.layers.2.self_attn.k_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,2.604951488111996e-06,2.0678933889573686e-08,1.2405559811313263e-11,2.604951488111996e-06,N/A,N/A,2.509984710898595e-05,0.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,30,base_model.model.model.layers.15.self_attn.q_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,2.586675430258807e-06,1.6303994498174847e-08,1.2397736720592548e-11,2.586675430258807e-06,N/A,N/A,2.4758387915537737e-05,0.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,42,base_model.model.model.layers.18.self_attn.q_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,2.5841653492645476e-06,1.613787482679786e-08,1.2420243133847451e-11,2.5841653492645476e-06,N/A,N/A,2.719751606791272e-05,0.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,50,base_model.model.model.layers.2.self_attn.q_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,2.544504170415866e-06,1.4977388100978603e-08,1.2373559568366295e-11,2.544504170415866e-06,N/A,N/A,2.5841845305128065e-05,0.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,86,base_model.model.model.layers.5.self_attn.q_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,2.5251302778416875e-06,1.584987583227223e-08,1.2441856374730077e-11,2.5251302778416875e-06,N/A,N/A,2.671002895906919e-05,0.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,94,base_model.model.model.layers.7.self_attn.q_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,2.5074317966491386e-06,1.3778158827408408e-08,1.2480920063079092e-11,2.5074317966491386e-06,N/A,N/A,2.4809088911331676e-05,0.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,54,base_model.model.model.layers.20.self_attn.q_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,2.4998183253056278e-06,1.728124032430642e-08,1.2418894781333725e-11,2.4998183253056278e-06,N/A,N/A,2.605400771137054e-05,0.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,14,base_model.model.model.layers.11.self_attn.q_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,2.4986877786583164e-06,1.4614510760084325e-08,1.2398583792138232e-11,2.4986877786583164e-06,N/A,N/A,2.6103740773406785e-05,0.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,26,base_model.model.model.layers.14.self_attn.q_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,2.492456022685034e-06,1.5808746394851275e-08,1.2437182799827058e-11,2.492456022685034e-06,N/A,N/A,2.4730709760522665e-05,0.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,4,base_model.model.model.layers.1.self_attn.k_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,2.4873313896249842e-06,1.73958373809091e-08,1.2433185206896049e-11,2.4873313896249842e-06,N/A,N/A,2.4924758351154995e-05,0.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,24,base_model.model.model.layers.14.self_attn.k_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,2.483642938472079e-06,1.3803215763663829e-08,1.2365449024400036e-11,2.483642938472079e-06,N/A,N/A,2.5491663807559366e-05,0.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,92,base_model.model.model.layers.7.self_attn.k_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,2.4803528761228458e-06,1.7214587794971863e-08,1.2378923461197171e-11,2.4803528761228458e-06,N/A,N/A,2.547452062537507e-05,0.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,3,base_model.model.model.layers.0.self_attn.v_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,2.4741694395525325e-06,1.7731207050471383e-08,1.2383911779667613e-11,2.4741694395525325e-06,N/A,N/A,2.7246162755911165e-05,0.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,96,base_model.model.model.layers.8.self_attn.k_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,2.46055293580524e-06,1.5840719281713764e-08,1.2475162281708748e-11,2.46055293580524e-06,N/A,N/A,2.4619993043010577e-05,0.0
