运行 ID,AB index,层/投影/AB 标识,方法,实验模式,部分加密比例,骨架优化,输出维度,输入维度,可行性,精度状态,备注,上传密文字节,上传明文字节,上传元数据字节,上传合计字节,下发密文字节,下发明文字节,下发元数据字节,下发合计字节,聚合阶段总网络字节
20260721-192828-real-d3200-outer-partial_A-ratio1-full,0,base_model.model.model.layers.0.self_attn.k_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,171154437,2608332800,327782400,3107269637,4198944,81100800,81945600,167245344,3274514981.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,1,base_model.model.model.layers.0.self_attn.o_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,171154091,2608332800,327782400,3107269291,4198944,81100800,81945600,167245344,3274514635.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,2,base_model.model.model.layers.0.self_attn.q_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,171163293,2608332800,327782400,3107278493,4198944,81100800,81945600,167245344,3274523837.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,3,base_model.model.model.layers.0.self_attn.v_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,171158342,2608332800,327782400,3107273542,4198944,81100800,81945600,167245344,3274518886.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,4,base_model.model.model.layers.1.self_attn.k_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,171161038,2608332800,327782400,3107276238,4198944,81100800,81945600,167245344,3274521582.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,5,base_model.model.model.layers.1.self_attn.o_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,171153432,2608332800,327782400,3107268632,4198944,81100800,81945600,167245344,3274513976.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,6,base_model.model.model.layers.1.self_attn.q_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,171155048,2608332800,327782400,3107270248,4198944,81100800,81945600,167245344,3274515592.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,7,base_model.model.model.layers.1.self_attn.v_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,171153911,2608332800,327782400,3107269111,4198944,81100800,81945600,167245344,3274514455.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,8,base_model.model.model.layers.10.self_attn.k_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,171159093,2608332800,327782400,3107274293,4198944,81100800,81945600,167245344,3274519637.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,9,base_model.model.model.layers.10.self_attn.o_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,171158263,2608332800,327782400,3107273463,4198944,81100800,81945600,167245344,3274518807.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,10,base_model.model.model.layers.10.self_attn.q_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,171160639,2608332800,327782400,3107275839,4198944,81100800,81945600,167245344,3274521183.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,11,base_model.model.model.layers.10.self_attn.v_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,171160662,2608332800,327782400,3107275862,4198944,81100800,81945600,167245344,3274521206.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,12,base_model.model.model.layers.11.self_attn.k_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,171149613,2608332800,327782400,3107264813,4198944,81100800,81945600,167245344,3274510157.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,13,base_model.model.model.layers.11.self_attn.o_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,171157005,2608332800,327782400,3107272205,4198944,81100800,81945600,167245344,3274517549.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,14,base_model.model.model.layers.11.self_attn.q_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,171161841,2608332800,327782400,3107277041,4198944,81100800,81945600,167245344,3274522385.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,15,base_model.model.model.layers.11.self_attn.v_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,171156439,2608332800,327782400,3107271639,4198944,81100800,81945600,167245344,3274516983.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,16,base_model.model.model.layers.12.self_attn.k_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,171153398,2608332800,327782400,3107268598,4198944,81100800,81945600,167245344,3274513942.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,17,base_model.model.model.layers.12.self_attn.o_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,171160923,2608332800,327782400,3107276123,4198944,81100800,81945600,167245344,3274521467.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,18,base_model.model.model.layers.12.self_attn.q_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,171157720,2608332800,327782400,3107272920,4198944,81100800,81945600,167245344,3274518264.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,19,base_model.model.model.layers.12.self_attn.v_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,171149883,2608332800,327782400,3107265083,4198944,81100800,81945600,167245344,3274510427.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,20,base_model.model.model.layers.13.self_attn.k_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,171158526,2608332800,327782400,3107273726,4198944,81100800,81945600,167245344,3274519070.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,21,base_model.model.model.layers.13.self_attn.o_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,171148963,2608332800,327782400,3107264163,4198944,81100800,81945600,167245344,3274509507.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,22,base_model.model.model.layers.13.self_attn.q_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,171152837,2608332800,327782400,3107268037,4198944,81100800,81945600,167245344,3274513381.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,23,base_model.model.model.layers.13.self_attn.v_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,171158679,2608332800,327782400,3107273879,4198944,81100800,81945600,167245344,3274519223.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,24,base_model.model.model.layers.14.self_attn.k_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,171155379,2608332800,327782400,3107270579,4198944,81100800,81945600,167245344,3274515923.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,25,base_model.model.model.layers.14.self_attn.o_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,171159137,2608332800,327782400,3107274337,4198944,81100800,81945600,167245344,3274519681.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,26,base_model.model.model.layers.14.self_attn.q_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,171156881,2608332800,327782400,3107272081,4198944,81100800,81945600,167245344,3274517425.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,27,base_model.model.model.layers.14.self_attn.v_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,171157556,2608332800,327782400,3107272756,4198944,81100800,81945600,167245344,3274518100.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,28,base_model.model.model.layers.15.self_attn.k_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,171160205,2608332800,327782400,3107275405,4198944,81100800,81945600,167245344,3274520749.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,29,base_model.model.model.layers.15.self_attn.o_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,171159868,2608332800,327782400,3107275068,4198944,81100800,81945600,167245344,3274520412.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,30,base_model.model.model.layers.15.self_attn.q_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,171155316,2608332800,327782400,3107270516,4198944,81100800,81945600,167245344,3274515860.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,31,base_model.model.model.layers.15.self_attn.v_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,171158452,2608332800,327782400,3107273652,4198944,81100800,81945600,167245344,3274518996.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,32,base_model.model.model.layers.16.self_attn.k_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,171153583,2608332800,327782400,3107268783,4198944,81100800,81945600,167245344,3274514127.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,33,base_model.model.model.layers.16.self_attn.o_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,171152566,2608332800,327782400,3107267766,4198944,81100800,81945600,167245344,3274513110.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,34,base_model.model.model.layers.16.self_attn.q_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,171153078,2608332800,327782400,3107268278,4198944,81100800,81945600,167245344,3274513622.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,35,base_model.model.model.layers.16.self_attn.v_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,171153919,2608332800,327782400,3107269119,4198944,81100800,81945600,167245344,3274514463.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,36,base_model.model.model.layers.17.self_attn.k_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,171164313,2608332800,327782400,3107279513,4198944,81100800,81945600,167245344,3274524857.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,37,base_model.model.model.layers.17.self_attn.o_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,171153446,2608332800,327782400,3107268646,4198944,81100800,81945600,167245344,3274513990.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,38,base_model.model.model.layers.17.self_attn.q_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,171150714,2608332800,327782400,3107265914,4198944,81100800,81945600,167245344,3274511258.0
20260721-192828-real-d3200-outer-partial_A-ratio1-full,39,base_model.model.model.layers.17.self_attn.v_proj.lora.default,外积,partial_A,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,171158202,2608332800,327782400,3107273402,4198944,81100800,81945600,167245344,3274518746.0
