运行 ID,AB index,层/投影/AB 标识,方法,实验模式,部分加密比例,骨架优化,输出维度,输入维度,可行性,精度状态,备注,相对 Frobenius 误差,最大绝对误差,平均绝对误差,CKKS 直接结果误差,骨架行列误差,CUR 重建误差,密文区域误差,明文区域误差
20260721-194541-real-d3200-outer-partial_A-ratio1-skeleton,0,base_model.model.model.layers.0.self_attn.k_proj.lora.default,外积,partial_A,1,开,3200,3200,可行,正常,外积 CKKS skeleton,0.00010625995233915602,1.2167749036297851e-07,5.323066339992001e-09,N/A,4.033812371039673e-06,0.00010625995233915602,0.00017260515783764328,0.00010546339907325262
20260721-194541-real-d3200-outer-partial_A-ratio1-skeleton,1,base_model.model.model.layers.0.self_attn.o_proj.lora.default,外积,partial_A,1,开,3200,3200,可行,warning,外积 CKKS skeleton,0.0023837879664115867,3.1036119896233667e-06,1.0623607671884372e-07,N/A,4.342204844285686e-06,0.0023837879664115867,0.003967259698290935,0.002359304512836295
20260721-194541-real-d3200-outer-partial_A-ratio1-skeleton,2,base_model.model.model.layers.0.self_attn.q_proj.lora.default,外积,partial_A,1,开,3200,3200,可行,warning,外积 CKKS skeleton,0.0010056865566437023,1.2060859653006213e-06,5.0672815887261735e-08,N/A,4.374580796237572e-06,0.0010056865566437023,0.0012100918079160131,0.0010037478999162096
20260721-194541-real-d3200-outer-partial_A-ratio1-skeleton,3,base_model.model.model.layers.0.self_attn.v_proj.lora.default,外积,partial_A,1,开,3200,3200,可行,正常,外积 CKKS skeleton,0.0002494135948384253,8.204799684365576e-07,1.0269628968119433e-08,N/A,4.730202711005549e-06,0.0002494135948384253,0.0002951126118063131,0.0002489984674734541
20260721-194541-real-d3200-outer-partial_A-ratio1-skeleton,4,base_model.model.model.layers.1.self_attn.k_proj.lora.default,外积,partial_A,1,开,3200,3200,可行,正常,外积 CKKS skeleton,4.173357154867484e-05,4.7599999183523954e-08,1.84407262168491e-09,N/A,4.723991105873963e-06,4.173357154867484e-05,9.784019288443904e-05,4.0778907923650726e-05
20260721-194541-real-d3200-outer-partial_A-ratio1-skeleton,5,base_model.model.model.layers.1.self_attn.o_proj.lora.default,外积,partial_A,1,开,3200,3200,可行,正常,外积 CKKS skeleton,0.0004182952858987307,6.436847518432676e-07,2.2016621445254525e-08,N/A,3.823662324423291e-06,0.0004182952858987307,0.0004266483222645396,0.0004182079848612863
20260721-194541-real-d3200-outer-partial_A-ratio1-skeleton,6,base_model.model.model.layers.1.self_attn.q_proj.lora.default,外积,partial_A,1,开,3200,3200,可行,正常,外积 CKKS skeleton,0.00035778624056758985,2.8420075931304947e-07,1.7148735365927427e-08,N/A,4.562814710736571e-06,0.00035778624056758985,0.0003537064080714235,0.00035782777946457553
20260721-194541-real-d3200-outer-partial_A-ratio1-skeleton,7,base_model.model.model.layers.1.self_attn.v_proj.lora.default,外积,partial_A,1,开,3200,3200,可行,正常,外积 CKKS skeleton,0.0009723438922200177,5.691860151224312e-06,4.780435502227171e-08,N/A,4.864306637572092e-06,0.0009723438922200177,0.0009180127003374256,0.0009727263835286984
20260721-194541-real-d3200-outer-partial_A-ratio1-skeleton,8,base_model.model.model.layers.10.self_attn.k_proj.lora.default,外积,partial_A,1,开,3200,3200,可行,正常,外积 CKKS skeleton,0.00023178292565528586,1.8264264911636938e-07,9.563391534014985e-09,N/A,5.254511905770477e-06,0.00023178292565528586,0.0002562382648048282,0.0002315569769310534
20260721-194541-real-d3200-outer-partial_A-ratio1-skeleton,9,base_model.model.model.layers.10.self_attn.o_proj.lora.default,外积,partial_A,1,开,3200,3200,可行,正常,外积 CKKS skeleton,3.262004350534309e-05,7.146977390741667e-08,2.4583648304455286e-09,N/A,3.161071696761941e-06,3.262004350534309e-05,7.992526165904703e-05,3.181486712465071e-05
20260721-194541-real-d3200-outer-partial_A-ratio1-skeleton,10,base_model.model.model.layers.10.self_attn.q_proj.lora.default,外积,partial_A,1,开,3200,3200,可行,warning,外积 CKKS skeleton,0.0037569211091288725,3.2655994655503772e-06,1.4372743740877114e-07,N/A,5.352881131512689e-06,0.0037569211091288725,0.005520049006596647,0.0037345203431276854
20260721-194541-real-d3200-outer-partial_A-ratio1-skeleton,11,base_model.model.model.layers.10.self_attn.v_proj.lora.default,外积,partial_A,1,开,3200,3200,可行,正常,外积 CKKS skeleton,0.000358694302648583,4.7476185158196573e-07,2.175629553530494e-08,N/A,3.245883907078825e-06,0.000358694302648583,0.00035692676128154136,0.0003587135225198894
20260721-194541-real-d3200-outer-partial_A-ratio1-skeleton,12,base_model.model.model.layers.11.self_attn.k_proj.lora.default,外积,partial_A,1,开,3200,3200,可行,正常,外积 CKKS skeleton,0.0005664083613227724,5.435990342890422e-07,2.6526687046176057e-08,N/A,4.533656436989024e-06,0.0005664083613227724,0.0005860556768043858,0.000566197306962115
20260721-194541-real-d3200-outer-partial_A-ratio1-skeleton,13,base_model.model.model.layers.11.self_attn.o_proj.lora.default,外积,partial_A,1,开,3200,3200,可行,正常,外积 CKKS skeleton,0.00015784598504429834,2.68026610018874e-07,1.2241440137874992e-08,N/A,2.7053931303908314e-06,0.00015784598504429834,0.0001783213467047338,0.00015764351518892145
20260721-194541-real-d3200-outer-partial_A-ratio1-skeleton,14,base_model.model.model.layers.11.self_attn.q_proj.lora.default,外积,partial_A,1,开,3200,3200,可行,正常,外积 CKKS skeleton,4.057734337406635e-05,7.535677798407056e-08,1.7765624029504059e-09,N/A,4.5524811749738775e-06,4.057734337406635e-05,0.0001251992841167888,3.8946067633715485e-05
20260721-194541-real-d3200-outer-partial_A-ratio1-skeleton,15,base_model.model.model.layers.11.self_attn.v_proj.lora.default,外积,partial_A,1,开,3200,3200,可行,正常,外积 CKKS skeleton,0.00035367865011699,6.199172657426794e-07,2.584212915802751e-08,N/A,2.642590444177409e-06,0.00035367865011699,0.00034473539372541993,0.0003537894537685285
20260721-194541-real-d3200-outer-partial_A-ratio1-skeleton,16,base_model.model.model.layers.12.self_attn.k_proj.lora.default,外积,partial_A,1,开,3200,3200,可行,正常,外积 CKKS skeleton,0.00020139389873925992,2.1808673683139824e-07,9.592197114671098e-09,N/A,3.9763715572425655e-06,0.00020139389873925992,0.0002836035392214922,0.00020045360453124176
20260721-194541-real-d3200-outer-partial_A-ratio1-skeleton,17,base_model.model.model.layers.12.self_attn.o_proj.lora.default,外积,partial_A,1,开,3200,3200,可行,正常,外积 CKKS skeleton,0.00016468242459932077,3.3538774913701407e-07,1.0349817814230665e-08,N/A,3.0688899203740983e-06,0.00016468242459932077,0.0003837551646938719,0.00016112025945898327
20260721-194541-real-d3200-outer-partial_A-ratio1-skeleton,18,base_model.model.model.layers.12.self_attn.q_proj.lora.default,外积,partial_A,1,开,3200,3200,可行,正常,外积 CKKS skeleton,0.00018093208439633106,2.844429704237147e-07,7.689223503668399e-09,N/A,4.759946120353512e-06,0.00018093208439633106,0.00028177243538139946,0.00017982126794303474
20260721-194541-real-d3200-outer-partial_A-ratio1-skeleton,19,base_model.model.model.layers.12.self_attn.v_proj.lora.default,外积,partial_A,1,开,3200,3200,可行,warning,外积 CKKS skeleton,0.0018867254436263576,3.2803009411775674e-06,1.397593318930977e-07,N/A,3.0117265522000625e-06,0.0018867254436263576,0.003136180382489226,0.001875374713772876
20260721-194541-real-d3200-outer-partial_A-ratio1-skeleton,20,base_model.model.model.layers.13.self_attn.k_proj.lora.default,外积,partial_A,1,开,3200,3200,可行,正常,外积 CKKS skeleton,0.0009202889289420038,8.207228275791049e-07,4.1844700874588046e-08,N/A,4.664743172513013e-06,0.0009202889289420038,0.0007428617706686342,0.0009218209176230237
