运行 ID,AB index,层/投影/AB 标识,方法,实验模式,部分加密比例,骨架优化,输出维度,输入维度,可行性,精度状态,备注,密文元素数,明文元素数,交叉块数值秩,交叉块条件数,逆方法
20260721-194541-real-d3200-outer-partial_A-ratio1-skeleton,0,base_model.model.model.layers.0.self_attn.k_proj.lora.default,外积,partial_A,1,开,3200,3200,可行,正常,外积 CKKS skeleton,3696,98448,16,10193.716166590777,inv
20260721-194541-real-d3200-outer-partial_A-ratio1-skeleton,1,base_model.model.model.layers.0.self_attn.o_proj.lora.default,外积,partial_A,1,开,3200,3200,可行,warning,外积 CKKS skeleton,3696,98448,16,732492.7721099051,inv
20260721-194541-real-d3200-outer-partial_A-ratio1-skeleton,2,base_model.model.model.layers.0.self_attn.q_proj.lora.default,外积,partial_A,1,开,3200,3200,可行,warning,外积 CKKS skeleton,3696,98448,16,22955.306034975725,inv
20260721-194541-real-d3200-outer-partial_A-ratio1-skeleton,3,base_model.model.model.layers.0.self_attn.v_proj.lora.default,外积,partial_A,1,开,3200,3200,可行,正常,外积 CKKS skeleton,3696,98448,16,8252.59837695339,inv
20260721-194541-real-d3200-outer-partial_A-ratio1-skeleton,4,base_model.model.model.layers.1.self_attn.k_proj.lora.default,外积,partial_A,1,开,3200,3200,可行,正常,外积 CKKS skeleton,3696,98448,16,1381.4476966195589,inv
20260721-194541-real-d3200-outer-partial_A-ratio1-skeleton,5,base_model.model.model.layers.1.self_attn.o_proj.lora.default,外积,partial_A,1,开,3200,3200,可行,正常,外积 CKKS skeleton,3696,98448,16,30093.814955967187,inv
20260721-194541-real-d3200-outer-partial_A-ratio1-skeleton,6,base_model.model.model.layers.1.self_attn.q_proj.lora.default,外积,partial_A,1,开,3200,3200,可行,正常,外积 CKKS skeleton,3696,98448,16,10053.937007808361,inv
20260721-194541-real-d3200-outer-partial_A-ratio1-skeleton,7,base_model.model.model.layers.1.self_attn.v_proj.lora.default,外积,partial_A,1,开,3200,3200,可行,正常,外积 CKKS skeleton,3696,98448,16,9022.616812938142,inv
20260721-194541-real-d3200-outer-partial_A-ratio1-skeleton,8,base_model.model.model.layers.10.self_attn.k_proj.lora.default,外积,partial_A,1,开,3200,3200,可行,正常,外积 CKKS skeleton,3696,98448,16,7031.752443946092,inv
20260721-194541-real-d3200-outer-partial_A-ratio1-skeleton,9,base_model.model.model.layers.10.self_attn.o_proj.lora.default,外积,partial_A,1,开,3200,3200,可行,正常,外积 CKKS skeleton,3696,98448,16,4092.22675166548,inv
