AB index,层/投影/AB 标识,输出维度,输入维度,A 平均 Frobenius 范数,B 平均 Frobenius 范数,A 平均最大绝对值,B 平均最大绝对值
0,base_model.model.model.layers.0.self_attn.k_proj.lora.default,3200,3200,1.1906358493612015,0.3233913577958373,0.024984702467918396,0.009068305836990476
1,base_model.model.model.layers.0.self_attn.o_proj.lora.default,3200,3200,1.1997597655169794,0.2830803514467084,0.02469710446894169,0.009173403028398752
2,base_model.model.model.layers.0.self_attn.q_proj.lora.default,3200,3200,1.1937704737809027,0.31824715374967477,0.02579860109835863,0.009330247528851032
3,base_model.model.model.layers.0.self_attn.v_proj.lora.default,3200,3200,1.1718622276746853,0.2798420653271412,0.04452905710786581,0.008063980028964579
4,base_model.model.model.layers.1.self_attn.k_proj.lora.default,3200,3200,1.199330242971202,0.3041319674057903,0.024477435275912285,0.009307284839451313
5,base_model.model.model.layers.1.self_attn.o_proj.lora.default,3200,3200,1.2091956349294488,0.3000953270664556,0.025900228414684534,0.009380077943205833
6,base_model.model.model.layers.1.self_attn.q_proj.lora.default,3200,3200,1.1913318671731943,0.3061798481243173,0.024817594792693853,0.009109074017032981
7,base_model.model.model.layers.1.self_attn.v_proj.lora.default,3200,3200,1.192743412257844,0.2982593351280811,0.03698624996468425,0.010904723079875112
8,base_model.model.model.layers.10.self_attn.k_proj.lora.default,3200,3200,1.2012581618891018,0.28973182121176555,0.024475193116813898,0.009098800597712398
9,base_model.model.model.layers.10.self_attn.o_proj.lora.default,3200,3200,1.2733539125430042,0.35210391647427064,0.026911179069429636,0.009902834193781018
10,base_model.model.model.layers.10.self_attn.q_proj.lora.default,3200,3200,1.1926391511863172,0.28733594651828337,0.024871833622455597,0.012936132261529565
11,base_model.model.model.layers.10.self_attn.v_proj.lora.default,3200,3200,1.2583465413556816,0.3286217731029996,0.026225514709949493,0.009490448981523514
12,base_model.model.model.layers.11.self_attn.k_proj.lora.default,3200,3200,1.203624579197196,0.30498570694830107,0.025113366078585386,0.009421824244782329
13,base_model.model.model.layers.11.self_attn.o_proj.lora.default,3200,3200,1.2760306732309479,0.3623447807457133,0.027236873749643564,0.010254839668050408
