运行 ID,AB index,层/投影/AB 标识,方法,实验模式,部分加密比例,骨架优化,输出维度,输入维度,可行性,精度状态,备注,相对 Frobenius 误差,最大绝对误差,平均绝对误差,CKKS 直接结果误差,骨架行列误差,CUR 重建误差,密文区域误差,明文区域误差
20260722-102630-real-d3200-outer-partial_A-ratio25-skeleton,87,base_model.model.model.layers.5.self_attn.v_proj.lora.default,外积,partial_A,25,开,3200,3200,可行,failure,外积 CKKS skeleton,0.15228406591435067,0.0017546948936375613,8.965491107638839e-06,N/A,8.256305104485249e-06,0.15228406591435067,0.13123496647545638,0.15866990615249404
20260722-102630-real-d3200-outer-partial_A-ratio25-skeleton,94,base_model.model.model.layers.7.self_attn.q_proj.lora.default,外积,partial_A,25,开,3200,3200,可行,failure,外积 CKKS skeleton,0.14379566633102475,0.0001345273086254444,6.334043822416217e-06,N/A,1.146222032757416e-05,0.14379566633102475,0.1502703797391591,0.14151260376356392
20260722-102630-real-d3200-outer-partial_A-ratio25-skeleton,63,base_model.model.model.layers.22.self_attn.v_proj.lora.default,外积,partial_A,25,开,3200,3200,可行,warning,外积 CKKS skeleton,0.025508647759621136,4.5546171243702684e-05,1.9300922208252673e-06,N/A,7.303738101654236e-06,0.025508647759621136,0.0281339470201853,0.024578716248537604
20260722-102630-real-d3200-outer-partial_A-ratio25-skeleton,53,base_model.model.model.layers.20.self_attn.o_proj.lora.default,外积,partial_A,25,开,3200,3200,可行,warning,外积 CKKS skeleton,0.021429159429468134,2.9118203898297993e-05,1.2482345743672176e-06,N/A,9.822185961483852e-06,0.021429159429468134,0.021968212649624844,0.02124396128859039
20260722-102630-real-d3200-outer-partial_A-ratio25-skeleton,19,base_model.model.model.layers.12.self_attn.v_proj.lora.default,外积,partial_A,25,开,3200,3200,可行,warning,外积 CKKS skeleton,0.017722197685496006,2.7982038415958603e-05,1.3112257999483558e-06,N/A,7.986541598594133e-06,0.017722197685496006,0.018495872916150815,0.017462083175704957
20260722-102630-real-d3200-outer-partial_A-ratio25-skeleton,31,base_model.model.model.layers.15.self_attn.v_proj.lora.default,外积,partial_A,25,开,3200,3200,可行,warning,外积 CKKS skeleton,0.014296513538325832,1.5834221444909696e-05,8.249142485199358e-07,N/A,9.72363987699986e-06,0.014296513538325832,0.014791848972743807,0.014127849483140775
20260722-102630-real-d3200-outer-partial_A-ratio25-skeleton,92,base_model.model.model.layers.7.self_attn.k_proj.lora.default,外积,partial_A,25,开,3200,3200,可行,warning,外积 CKKS skeleton,0.011065829132831752,1.1748719981477591e-05,5.013049702355384e-07,N/A,1.2037371079401561e-05,0.011065829132831752,0.0116151309109929,0.010876023342630058
20260722-102630-real-d3200-outer-partial_A-ratio25-skeleton,49,base_model.model.model.layers.2.self_attn.o_proj.lora.default,外积,partial_A,25,开,3200,3200,可行,warning,外积 CKKS skeleton,0.009314580805427738,1.3170846647545641e-05,6.167602674146586e-07,N/A,8.0431764312307e-06,0.009314580805427738,0.010208515776337863,0.009027247056193692
20260722-102630-real-d3200-outer-partial_A-ratio25-skeleton,1,base_model.model.model.layers.0.self_attn.o_proj.lora.default,外积,partial_A,25,开,3200,3200,可行,warning,外积 CKKS skeleton,0.008186899684605526,1.118528558622195e-05,3.7035882973322595e-07,N/A,1.1362559835109705e-05,0.008186899684605526,0.00838203397959221,0.008119973861859473
20260722-102630-real-d3200-outer-partial_A-ratio25-skeleton,74,base_model.model.model.layers.25.self_attn.q_proj.lora.default,外积,partial_A,25,开,3200,3200,可行,warning,外积 CKKS skeleton,0.005993215994976819,5.185782584305192e-06,2.6928064372163606e-07,N/A,1.1556677953699989e-05,0.005993215994976819,0.00592365590516672,0.0060159037578658755
