运行 ID,AB index,层/投影/AB 标识,方法,实验模式,部分加密比例,骨架优化,输出维度,输入维度,客户端数量,LoRA 秩,LoRA alpha,LoRA scaling,skeleton rank,实际 skeleton rank,初始化 context 引用,可行性,精度状态,备注
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,0,base_model.model.model.layers.0.self_attn.k_proj.lora.default,外积,partial_A,5,开,3200,3200,4,4,8,2.0,16,16,context-外积,可行,正常,外积 CKKS skeleton
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,1,base_model.model.model.layers.0.self_attn.o_proj.lora.default,外积,partial_A,5,开,3200,3200,4,4,8,2.0,16,16,context-外积,可行,warning,外积 CKKS skeleton
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,2,base_model.model.model.layers.0.self_attn.q_proj.lora.default,外积,partial_A,5,开,3200,3200,4,4,8,2.0,16,16,context-外积,可行,warning,外积 CKKS skeleton
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,3,base_model.model.model.layers.0.self_attn.v_proj.lora.default,外积,partial_A,5,开,3200,3200,4,4,8,2.0,16,16,context-外积,可行,正常,外积 CKKS skeleton
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,4,base_model.model.model.layers.1.self_attn.k_proj.lora.default,外积,partial_A,5,开,3200,3200,4,4,8,2.0,16,16,context-外积,可行,正常,外积 CKKS skeleton
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,5,base_model.model.model.layers.1.self_attn.o_proj.lora.default,外积,partial_A,5,开,3200,3200,4,4,8,2.0,16,16,context-外积,可行,正常,外积 CKKS skeleton
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,6,base_model.model.model.layers.1.self_attn.q_proj.lora.default,外积,partial_A,5,开,3200,3200,4,4,8,2.0,16,16,context-外积,可行,正常,外积 CKKS skeleton
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,7,base_model.model.model.layers.1.self_attn.v_proj.lora.default,外积,partial_A,5,开,3200,3200,4,4,8,2.0,16,16,context-外积,可行,正常,外积 CKKS skeleton
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,8,base_model.model.model.layers.10.self_attn.k_proj.lora.default,外积,partial_A,5,开,3200,3200,4,4,8,2.0,16,16,context-外积,可行,正常,外积 CKKS skeleton
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,9,base_model.model.model.layers.10.self_attn.o_proj.lora.default,外积,partial_A,5,开,3200,3200,4,4,8,2.0,16,16,context-外积,可行,正常,外积 CKKS skeleton
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,10,base_model.model.model.layers.10.self_attn.q_proj.lora.default,外积,partial_A,5,开,3200,3200,4,4,8,2.0,16,16,context-外积,可行,warning,外积 CKKS skeleton
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,11,base_model.model.model.layers.10.self_attn.v_proj.lora.default,外积,partial_A,5,开,3200,3200,4,4,8,2.0,16,16,context-外积,可行,正常,外积 CKKS skeleton
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,12,base_model.model.model.layers.11.self_attn.k_proj.lora.default,外积,partial_A,5,开,3200,3200,4,4,8,2.0,16,16,context-外积,可行,正常,外积 CKKS skeleton
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,13,base_model.model.model.layers.11.self_attn.o_proj.lora.default,外积,partial_A,5,开,3200,3200,4,4,8,2.0,16,16,context-外积,可行,正常,外积 CKKS skeleton
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,14,base_model.model.model.layers.11.self_attn.q_proj.lora.default,外积,partial_A,5,开,3200,3200,4,4,8,2.0,16,16,context-外积,可行,正常,外积 CKKS skeleton
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,15,base_model.model.model.layers.11.self_attn.v_proj.lora.default,外积,partial_A,5,开,3200,3200,4,4,8,2.0,16,16,context-外积,可行,warning,外积 CKKS skeleton
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,16,base_model.model.model.layers.12.self_attn.k_proj.lora.default,外积,partial_A,5,开,3200,3200,4,4,8,2.0,16,16,context-外积,可行,正常,外积 CKKS skeleton
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,17,base_model.model.model.layers.12.self_attn.o_proj.lora.default,外积,partial_A,5,开,3200,3200,4,4,8,2.0,16,16,context-外积,可行,正常,外积 CKKS skeleton
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,18,base_model.model.model.layers.12.self_attn.q_proj.lora.default,外积,partial_A,5,开,3200,3200,4,4,8,2.0,16,16,context-外积,可行,正常,外积 CKKS skeleton
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,19,base_model.model.model.layers.12.self_attn.v_proj.lora.default,外积,partial_A,5,开,3200,3200,4,4,8,2.0,16,16,context-外积,可行,warning,外积 CKKS skeleton
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,20,base_model.model.model.layers.13.self_attn.k_proj.lora.default,外积,partial_A,5,开,3200,3200,4,4,8,2.0,16,16,context-外积,可行,正常,外积 CKKS skeleton
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,21,base_model.model.model.layers.13.self_attn.o_proj.lora.default,外积,partial_A,5,开,3200,3200,4,4,8,2.0,16,16,context-外积,可行,warning,外积 CKKS skeleton
