运行 ID,AB index,层/投影/AB 标识,方法,实验模式,部分加密比例,骨架优化,输出维度,输入维度,可行性,精度状态,备注,上传密文字节,上传明文字节,上传元数据字节,上传合计字节,下发密文字节,下发明文字节,下发元数据字节,下发合计字节,聚合阶段总网络字节
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,20,base_model.model.model.layers.13.self_attn.k_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,正常,外积 CKKS skeleton,16049406,25413632,1740800,43203838,393650,771200,435200,1600050,44803888.0
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,41,base_model.model.model.layers.18.self_attn.o_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,warning,外积 CKKS skeleton,16049145,25413632,1740800,43203577,393650,771200,435200,1600050,44803627.0
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,85,base_model.model.model.layers.5.self_attn.o_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,正常,外积 CKKS skeleton,16049001,25413632,1740800,43203433,393650,771200,435200,1600050,44803483.0
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,12,base_model.model.model.layers.11.self_attn.k_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,正常,外积 CKKS skeleton,16048642,25413632,1740800,43203074,393650,771200,435200,1600050,44803124.0
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,33,base_model.model.model.layers.16.self_attn.o_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,正常,外积 CKKS skeleton,16048379,25413632,1740800,43202811,393650,771200,435200,1600050,44802861.0
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,59,base_model.model.model.layers.21.self_attn.v_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,正常,外积 CKKS skeleton,16048273,25413632,1740800,43202705,393650,771200,435200,1600050,44802755.0
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,30,base_model.model.model.layers.15.self_attn.q_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,正常,外积 CKKS skeleton,16048142,25413632,1740800,43202574,393650,771200,435200,1600050,44802624.0
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,89,base_model.model.model.layers.6.self_attn.o_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,正常,外积 CKKS skeleton,16047962,25413632,1740800,43202394,393650,771200,435200,1600050,44802444.0
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,60,base_model.model.model.layers.22.self_attn.k_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,正常,外积 CKKS skeleton,16047878,25413632,1740800,43202310,393650,771200,435200,1600050,44802360.0
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,19,base_model.model.model.layers.12.self_attn.v_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,warning,外积 CKKS skeleton,16047748,25413632,1740800,43202180,393650,771200,435200,1600050,44802230.0
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,74,base_model.model.model.layers.25.self_attn.q_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,正常,外积 CKKS skeleton,16047720,25413632,1740800,43202152,393650,771200,435200,1600050,44802202.0
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,58,base_model.model.model.layers.21.self_attn.q_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,warning,外积 CKKS skeleton,16047719,25413632,1740800,43202151,393650,771200,435200,1600050,44802201.0
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,13,base_model.model.model.layers.11.self_attn.o_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,正常,外积 CKKS skeleton,16047699,25413632,1740800,43202131,393650,771200,435200,1600050,44802181.0
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,80,base_model.model.model.layers.4.self_attn.k_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,正常,外积 CKKS skeleton,16047450,25413632,1740800,43201882,393650,771200,435200,1600050,44801932.0
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,63,base_model.model.model.layers.22.self_attn.v_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,warning,外积 CKKS skeleton,16047381,25413632,1740800,43201813,393650,771200,435200,1600050,44801863.0
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,94,base_model.model.model.layers.7.self_attn.q_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,warning,外积 CKKS skeleton,16047319,25413632,1740800,43201751,393650,771200,435200,1600050,44801801.0
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,62,base_model.model.model.layers.22.self_attn.q_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,正常,外积 CKKS skeleton,16047316,25413632,1740800,43201748,393650,771200,435200,1600050,44801798.0
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,68,base_model.model.model.layers.24.self_attn.k_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,正常,外积 CKKS skeleton,16047269,25413632,1740800,43201701,393650,771200,435200,1600050,44801751.0
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,5,base_model.model.model.layers.1.self_attn.o_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,正常,外积 CKKS skeleton,16047237,25413632,1740800,43201669,393650,771200,435200,1600050,44801719.0
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,38,base_model.model.model.layers.17.self_attn.q_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,正常,外积 CKKS skeleton,16047181,25413632,1740800,43201613,393650,771200,435200,1600050,44801663.0
