运行 ID,AB index,层/投影/AB 标识,方法,实验模式,部分加密比例,骨架优化,输出维度,输入维度,可行性,精度状态,备注,上传密文字节,上传明文字节,上传元数据字节,上传合计字节,下发密文字节,下发明文字节,下发元数据字节,下发合计字节,聚合阶段总网络字节
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,0,base_model.model.model.layers.0.self_attn.k_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,正常,外积 CKKS skeleton,16047013,25413632,1740800,43201445,393650,771200,435200,1600050,44801495.0
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,1,base_model.model.model.layers.0.self_attn.o_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,warning,外积 CKKS skeleton,16045859,25413632,1740800,43200291,393650,771200,435200,1600050,44800341.0
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,2,base_model.model.model.layers.0.self_attn.q_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,warning,外积 CKKS skeleton,16045194,25413632,1740800,43199626,393650,771200,435200,1600050,44799676.0
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,3,base_model.model.model.layers.0.self_attn.v_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,正常,外积 CKKS skeleton,16044126,25413632,1740800,43198558,393650,771200,435200,1600050,44798608.0
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,4,base_model.model.model.layers.1.self_attn.k_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,正常,外积 CKKS skeleton,16043864,25413632,1740800,43198296,393650,771200,435200,1600050,44798346.0
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,5,base_model.model.model.layers.1.self_attn.o_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,正常,外积 CKKS skeleton,16047237,25413632,1740800,43201669,393650,771200,435200,1600050,44801719.0
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,6,base_model.model.model.layers.1.self_attn.q_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,正常,外积 CKKS skeleton,16046040,25413632,1740800,43200472,393650,771200,435200,1600050,44800522.0
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,7,base_model.model.model.layers.1.self_attn.v_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,正常,外积 CKKS skeleton,16046094,25413632,1740800,43200526,393650,771200,435200,1600050,44800576.0
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,8,base_model.model.model.layers.10.self_attn.k_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,正常,外积 CKKS skeleton,16045363,25413632,1740800,43199795,393650,771200,435200,1600050,44799845.0
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,9,base_model.model.model.layers.10.self_attn.o_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,正常,外积 CKKS skeleton,16046909,25413632,1740800,43201341,393650,771200,435200,1600050,44801391.0
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,10,base_model.model.model.layers.10.self_attn.q_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,warning,外积 CKKS skeleton,16046364,25413632,1740800,43200796,393650,771200,435200,1600050,44800846.0
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,11,base_model.model.model.layers.10.self_attn.v_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,正常,外积 CKKS skeleton,16046912,25413632,1740800,43201344,393650,771200,435200,1600050,44801394.0
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,12,base_model.model.model.layers.11.self_attn.k_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,正常,外积 CKKS skeleton,16048642,25413632,1740800,43203074,393650,771200,435200,1600050,44803124.0
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,13,base_model.model.model.layers.11.self_attn.o_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,正常,外积 CKKS skeleton,16047699,25413632,1740800,43202131,393650,771200,435200,1600050,44802181.0
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,14,base_model.model.model.layers.11.self_attn.q_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,正常,外积 CKKS skeleton,16047149,25413632,1740800,43201581,393650,771200,435200,1600050,44801631.0
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,15,base_model.model.model.layers.11.self_attn.v_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,warning,外积 CKKS skeleton,16044433,25413632,1740800,43198865,393650,771200,435200,1600050,44798915.0
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,16,base_model.model.model.layers.12.self_attn.k_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,正常,外积 CKKS skeleton,16045693,25413632,1740800,43200125,393650,771200,435200,1600050,44800175.0
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,17,base_model.model.model.layers.12.self_attn.o_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,正常,外积 CKKS skeleton,16044106,25413632,1740800,43198538,393650,771200,435200,1600050,44798588.0
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,18,base_model.model.model.layers.12.self_attn.q_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,正常,外积 CKKS skeleton,16045617,25413632,1740800,43200049,393650,771200,435200,1600050,44800099.0
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,19,base_model.model.model.layers.12.self_attn.v_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,warning,外积 CKKS skeleton,16047748,25413632,1740800,43202180,393650,771200,435200,1600050,44802230.0
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,20,base_model.model.model.layers.13.self_attn.k_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,正常,外积 CKKS skeleton,16049406,25413632,1740800,43203838,393650,771200,435200,1600050,44803888.0
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,21,base_model.model.model.layers.13.self_attn.o_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,warning,外积 CKKS skeleton,16046114,25413632,1740800,43200546,393650,771200,435200,1600050,44800596.0
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,22,base_model.model.model.layers.13.self_attn.q_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,正常,外积 CKKS skeleton,16045199,25413632,1740800,43199631,393650,771200,435200,1600050,44799681.0
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,23,base_model.model.model.layers.13.self_attn.v_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,正常,外积 CKKS skeleton,16047017,25413632,1740800,43201449,393650,771200,435200,1600050,44801499.0
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,24,base_model.model.model.layers.14.self_attn.k_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,正常,外积 CKKS skeleton,16044581,25413632,1740800,43199013,393650,771200,435200,1600050,44799063.0
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,25,base_model.model.model.layers.14.self_attn.o_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,正常,外积 CKKS skeleton,16046194,25413632,1740800,43200626,393650,771200,435200,1600050,44800676.0
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,26,base_model.model.model.layers.14.self_attn.q_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,正常,外积 CKKS skeleton,16043415,25413632,1740800,43197847,393650,771200,435200,1600050,44797897.0
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,27,base_model.model.model.layers.14.self_attn.v_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,正常,外积 CKKS skeleton,16045131,25413632,1740800,43199563,393650,771200,435200,1600050,44799613.0
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,28,base_model.model.model.layers.15.self_attn.k_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,正常,外积 CKKS skeleton,16046145,25413632,1740800,43200577,393650,771200,435200,1600050,44800627.0
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,29,base_model.model.model.layers.15.self_attn.o_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,正常,外积 CKKS skeleton,16042869,25413632,1740800,43197301,393650,771200,435200,1600050,44797351.0
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,30,base_model.model.model.layers.15.self_attn.q_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,正常,外积 CKKS skeleton,16048142,25413632,1740800,43202574,393650,771200,435200,1600050,44802624.0
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,31,base_model.model.model.layers.15.self_attn.v_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,warning,外积 CKKS skeleton,16045145,25413632,1740800,43199577,393650,771200,435200,1600050,44799627.0
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,32,base_model.model.model.layers.16.self_attn.k_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,正常,外积 CKKS skeleton,16047141,25413632,1740800,43201573,393650,771200,435200,1600050,44801623.0
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,33,base_model.model.model.layers.16.self_attn.o_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,正常,外积 CKKS skeleton,16048379,25413632,1740800,43202811,393650,771200,435200,1600050,44802861.0
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,34,base_model.model.model.layers.16.self_attn.q_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,正常,外积 CKKS skeleton,16046270,25413632,1740800,43200702,393650,771200,435200,1600050,44800752.0
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,35,base_model.model.model.layers.16.self_attn.v_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,正常,外积 CKKS skeleton,16046371,25413632,1740800,43200803,393650,771200,435200,1600050,44800853.0
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,36,base_model.model.model.layers.17.self_attn.k_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,warning,外积 CKKS skeleton,16046896,25413632,1740800,43201328,393650,771200,435200,1600050,44801378.0
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,37,base_model.model.model.layers.17.self_attn.o_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,正常,外积 CKKS skeleton,16046976,25413632,1740800,43201408,393650,771200,435200,1600050,44801458.0
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,38,base_model.model.model.layers.17.self_attn.q_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,正常,外积 CKKS skeleton,16047181,25413632,1740800,43201613,393650,771200,435200,1600050,44801663.0
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,39,base_model.model.model.layers.17.self_attn.v_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,正常,外积 CKKS skeleton,16045916,25413632,1740800,43200348,393650,771200,435200,1600050,44800398.0
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,40,base_model.model.model.layers.18.self_attn.k_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,正常,外积 CKKS skeleton,16046782,25413632,1740800,43201214,393650,771200,435200,1600050,44801264.0
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,41,base_model.model.model.layers.18.self_attn.o_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,warning,外积 CKKS skeleton,16049145,25413632,1740800,43203577,393650,771200,435200,1600050,44803627.0
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,42,base_model.model.model.layers.18.self_attn.q_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,正常,外积 CKKS skeleton,16045397,25413632,1740800,43199829,393650,771200,435200,1600050,44799879.0
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,43,base_model.model.model.layers.18.self_attn.v_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,warning,外积 CKKS skeleton,16047146,25413632,1740800,43201578,393650,771200,435200,1600050,44801628.0
20260722-111042-real-d3200-outer-partial_A-ratio5-skeleton,44,base_model.model.model.layers.19.self_attn.k_proj.lora.default,外积,partial_A,5,开,3200,3200,可行,正常,外积 CKKS skeleton,16045621,25413632,1740800,43200053,393650,771200,435200,1600050,44800103.0
