运行 ID,AB index,层/投影/AB 标识,方法,实验模式,部分加密比例,骨架优化,输出维度,输入维度,可行性,精度状态,备注,上传密文字节,上传明文字节,上传元数据字节,上传合计字节,下发密文字节,下发明文字节,下发元数据字节,下发合计字节,聚合阶段总网络字节
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,97,base_model.model.model.layers.8.self_attn.o_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315583904,2595225600,324634624,3235444128,7610586,80289792,81158656,169059034,3404503162.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,94,base_model.model.model.layers.7.self_attn.q_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315582871,2595225600,324634624,3235443095,7610586,80289792,81158656,169059034,3404502129.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,63,base_model.model.model.layers.22.self_attn.v_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315582322,2595225600,324634624,3235442546,7610586,80289792,81158656,169059034,3404501580.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,46,base_model.model.model.layers.19.self_attn.q_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315580603,2595225600,324634624,3235440827,7610586,80289792,81158656,169059034,3404499861.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,95,base_model.model.model.layers.7.self_attn.v_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315580197,2595225600,324634624,3235440421,7610586,80289792,81158656,169059034,3404499455.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,100,base_model.model.model.layers.9.self_attn.k_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315579888,2595225600,324634624,3235440112,7610586,80289792,81158656,169059034,3404499146.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,39,base_model.model.model.layers.17.self_attn.v_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315579711,2595225600,324634624,3235439935,7610586,80289792,81158656,169059034,3404498969.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,16,base_model.model.model.layers.12.self_attn.k_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315579472,2595225600,324634624,3235439696,7610586,80289792,81158656,169059034,3404498730.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,55,base_model.model.model.layers.20.self_attn.v_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315579261,2595225600,324634624,3235439485,7610586,80289792,81158656,169059034,3404498519.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,76,base_model.model.model.layers.3.self_attn.k_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315578634,2595225600,324634624,3235438858,7610586,80289792,81158656,169059034,3404497892.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,15,base_model.model.model.layers.11.self_attn.v_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315578286,2595225600,324634624,3235438510,7610586,80289792,81158656,169059034,3404497544.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,71,base_model.model.model.layers.24.self_attn.v_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315577928,2595225600,324634624,3235438152,7610586,80289792,81158656,169059034,3404497186.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,70,base_model.model.model.layers.24.self_attn.q_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315577777,2595225600,324634624,3235438001,7610586,80289792,81158656,169059034,3404497035.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,75,base_model.model.model.layers.25.self_attn.v_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315577772,2595225600,324634624,3235437996,7610586,80289792,81158656,169059034,3404497030.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,53,base_model.model.model.layers.20.self_attn.o_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315576723,2595225600,324634624,3235436947,7610586,80289792,81158656,169059034,3404495981.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,72,base_model.model.model.layers.25.self_attn.k_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315576689,2595225600,324634624,3235436913,7610586,80289792,81158656,169059034,3404495947.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,33,base_model.model.model.layers.16.self_attn.o_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315576396,2595225600,324634624,3235436620,7610586,80289792,81158656,169059034,3404495654.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,43,base_model.model.model.layers.18.self_attn.v_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315575471,2595225600,324634624,3235435695,7610586,80289792,81158656,169059034,3404494729.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,4,base_model.model.model.layers.1.self_attn.k_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315575166,2595225600,324634624,3235435390,7610586,80289792,81158656,169059034,3404494424.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,28,base_model.model.model.layers.15.self_attn.k_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315574995,2595225600,324634624,3235435219,7610586,80289792,81158656,169059034,3404494253.0
