运行 ID,AB index,层/投影/AB 标识,方法,实验模式,部分加密比例,骨架优化,输出维度,输入维度,可行性,精度状态,备注,相对 Frobenius 误差,最大绝对误差,平均绝对误差,CKKS 直接结果误差,骨架行列误差,CUR 重建误差,密文区域误差,明文区域误差
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,10,base_model.model.model.layers.10.self_attn.q_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,4.1319188222715885e-06,1.7025703338258125e-08,2.4771139597386207e-11,4.1319188222715885e-06,N/A,N/A,2.235881161780699e-05,0.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,28,base_model.model.model.layers.15.self_attn.k_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,3.97464424071799e-06,1.543819114071339e-08,2.4706809005244216e-11,3.97464424071799e-06,N/A,N/A,2.8355467184757672e-05,0.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,8,base_model.model.model.layers.10.self_attn.k_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,3.837164331735491e-06,1.700190557933542e-08,2.4720008134068514e-11,3.837164331735491e-06,N/A,N/A,2.701061978275437e-05,0.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,76,base_model.model.model.layers.3.self_attn.k_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,3.7340971344684075e-06,1.5455859195015963e-08,2.4776933740191292e-11,3.7340971344684075e-06,N/A,N/A,1.6601912860851725e-05,0.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,22,base_model.model.model.layers.13.self_attn.q_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,3.713707983277612e-06,1.6111793362810095e-08,2.4728820123184744e-11,3.713707983277612e-06,N/A,N/A,2.8628056657260332e-05,0.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,18,base_model.model.model.layers.12.self_attn.q_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,3.6895572363483826e-06,1.540190925575221e-08,2.4718175046172132e-11,3.6895572363483826e-06,N/A,N/A,2.905070460545919e-05,0.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,48,base_model.model.model.layers.2.self_attn.k_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,3.6544188084340313e-06,1.488937705961541e-08,2.4668832450461977e-11,3.6544188084340313e-06,N/A,N/A,2.704720836579487e-05,0.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,30,base_model.model.model.layers.15.self_attn.q_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,3.643182849133348e-06,1.742000980122719e-08,2.473552832169308e-11,3.643182849133348e-06,N/A,N/A,2.6899758654848952e-05,0.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,42,base_model.model.model.layers.18.self_attn.q_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,3.63381767685587e-06,1.4852637680423778e-08,2.4757430291290502e-11,3.63381767685587e-06,N/A,N/A,1.938238268678515e-05,0.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,50,base_model.model.model.layers.2.self_attn.q_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,3.5954924145339598e-06,1.4932047444951016e-08,2.464831536584241e-11,3.5954924145339598e-06,N/A,N/A,2.8003949774883733e-05,0.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,86,base_model.model.model.layers.5.self_attn.q_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,3.5571814295128237e-06,1.4159326995244925e-08,2.473526603431211e-11,3.5571814295128237e-06,N/A,N/A,2.5922856710254472e-05,0.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,54,base_model.model.model.layers.20.self_attn.q_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,3.5205335035778896e-06,1.6502672995060558e-08,2.4739706942501605e-11,3.5205335035778896e-06,N/A,N/A,2.851402778218586e-05,0.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,14,base_model.model.model.layers.11.self_attn.q_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,3.5147362147045987e-06,1.5967611466163596e-08,2.4653679055613867e-11,3.5147362147045987e-06,N/A,N/A,2.4234759878169402e-05,0.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,94,base_model.model.model.layers.7.self_attn.q_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,3.514080440434779e-06,1.8360997718235212e-08,2.47219806449664e-11,3.514080440434779e-06,N/A,N/A,1.8297319604399953e-05,0.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,26,base_model.model.model.layers.14.self_attn.q_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,3.5003632654826144e-06,1.3890673119775892e-08,2.4697024101646665e-11,3.5003632654826144e-06,N/A,N/A,2.640678447428684e-05,0.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,4,base_model.model.model.layers.1.self_attn.k_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,3.4905511509409906e-06,1.5443247270720793e-08,2.473698153481018e-11,3.4905511509409906e-06,N/A,N/A,2.1379469118087895e-05,0.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,24,base_model.model.model.layers.14.self_attn.k_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,3.4899817486001422e-06,1.5187769013335977e-08,2.4678118156583653e-11,3.4899817486001422e-06,N/A,N/A,2.609737030663011e-05,0.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,3,base_model.model.model.layers.0.self_attn.v_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,3.4882804585571454e-06,1.7749422186823894e-08,2.4741122554214492e-11,3.4882804585571454e-06,N/A,N/A,2.4583716970011994e-05,0.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,20,base_model.model.model.layers.13.self_attn.k_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,3.4809181588852286e-06,1.5187583167510757e-08,2.4795722083598808e-11,3.4809181588852286e-06,N/A,N/A,2.6459574721652148e-05,0.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,92,base_model.model.model.layers.7.self_attn.k_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,3.477883017567012e-06,1.5161591169894043e-08,2.4666585887449622e-11,3.477883017567012e-06,N/A,N/A,2.5121222887814896e-05,0.0
