运行 ID,AB index,层/投影/AB 标识,方法,实验模式,部分加密比例,骨架优化,输出维度,输入维度,可行性,精度状态,备注,上传密文字节,上传明文字节,上传元数据字节,上传合计字节,下发密文字节,下发明文字节,下发元数据字节,下发合计字节,聚合阶段总网络字节
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,0,base_model.model.model.layers.0.self_attn.k_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315574238,2595225600,324634624,3235434462,7610586,80289792,81158656,169059034,3404493496.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,1,base_model.model.model.layers.0.self_attn.o_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315574065,2595225600,324634624,3235434289,7610586,80289792,81158656,169059034,3404493323.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,2,base_model.model.model.layers.0.self_attn.q_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315571688,2595225600,324634624,3235431912,7610586,80289792,81158656,169059034,3404490946.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,3,base_model.model.model.layers.0.self_attn.v_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315568337,2595225600,324634624,3235428561,7610586,80289792,81158656,169059034,3404487595.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,4,base_model.model.model.layers.1.self_attn.k_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315575166,2595225600,324634624,3235435390,7610586,80289792,81158656,169059034,3404494424.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,5,base_model.model.model.layers.1.self_attn.o_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315569437,2595225600,324634624,3235429661,7610586,80289792,81158656,169059034,3404488695.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,6,base_model.model.model.layers.1.self_attn.q_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315573046,2595225600,324634624,3235433270,7610586,80289792,81158656,169059034,3404492304.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,7,base_model.model.model.layers.1.self_attn.v_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315569192,2595225600,324634624,3235429416,7610586,80289792,81158656,169059034,3404488450.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,8,base_model.model.model.layers.10.self_attn.k_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315573475,2595225600,324634624,3235433699,7610586,80289792,81158656,169059034,3404492733.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,9,base_model.model.model.layers.10.self_attn.o_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315563908,2595225600,324634624,3235424132,7610586,80289792,81158656,169059034,3404483166.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,10,base_model.model.model.layers.10.self_attn.q_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315555859,2595225600,324634624,3235416083,7610586,80289792,81158656,169059034,3404475117.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,11,base_model.model.model.layers.10.self_attn.v_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315568581,2595225600,324634624,3235428805,7610586,80289792,81158656,169059034,3404487839.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,12,base_model.model.model.layers.11.self_attn.k_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315572753,2595225600,324634624,3235432977,7610586,80289792,81158656,169059034,3404492011.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,13,base_model.model.model.layers.11.self_attn.o_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315569892,2595225600,324634624,3235430116,7610586,80289792,81158656,169059034,3404489150.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,14,base_model.model.model.layers.11.self_attn.q_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315574924,2595225600,324634624,3235435148,7610586,80289792,81158656,169059034,3404494182.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,15,base_model.model.model.layers.11.self_attn.v_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315578286,2595225600,324634624,3235438510,7610586,80289792,81158656,169059034,3404497544.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,16,base_model.model.model.layers.12.self_attn.k_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315579472,2595225600,324634624,3235439696,7610586,80289792,81158656,169059034,3404498730.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,17,base_model.model.model.layers.12.self_attn.o_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315561447,2595225600,324634624,3235421671,7610586,80289792,81158656,169059034,3404480705.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,18,base_model.model.model.layers.12.self_attn.q_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315566964,2595225600,324634624,3235427188,7610586,80289792,81158656,169059034,3404486222.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,19,base_model.model.model.layers.12.self_attn.v_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315571356,2595225600,324634624,3235431580,7610586,80289792,81158656,169059034,3404490614.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,20,base_model.model.model.layers.13.self_attn.k_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315567482,2595225600,324634624,3235427706,7610586,80289792,81158656,169059034,3404486740.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,21,base_model.model.model.layers.13.self_attn.o_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315574431,2595225600,324634624,3235434655,7610586,80289792,81158656,169059034,3404493689.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,22,base_model.model.model.layers.13.self_attn.q_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315574790,2595225600,324634624,3235435014,7610586,80289792,81158656,169059034,3404494048.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,23,base_model.model.model.layers.13.self_attn.v_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315560599,2595225600,324634624,3235420823,7610586,80289792,81158656,169059034,3404479857.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,24,base_model.model.model.layers.14.self_attn.k_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315565382,2595225600,324634624,3235425606,7610586,80289792,81158656,169059034,3404484640.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,25,base_model.model.model.layers.14.self_attn.o_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315568568,2595225600,324634624,3235428792,7610586,80289792,81158656,169059034,3404487826.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,26,base_model.model.model.layers.14.self_attn.q_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315574236,2595225600,324634624,3235434460,7610586,80289792,81158656,169059034,3404493494.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,27,base_model.model.model.layers.14.self_attn.v_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315566668,2595225600,324634624,3235426892,7610586,80289792,81158656,169059034,3404485926.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,28,base_model.model.model.layers.15.self_attn.k_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315574995,2595225600,324634624,3235435219,7610586,80289792,81158656,169059034,3404494253.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,29,base_model.model.model.layers.15.self_attn.o_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315573494,2595225600,324634624,3235433718,7610586,80289792,81158656,169059034,3404492752.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,30,base_model.model.model.layers.15.self_attn.q_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315567291,2595225600,324634624,3235427515,7610586,80289792,81158656,169059034,3404486549.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,31,base_model.model.model.layers.15.self_attn.v_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315564302,2595225600,324634624,3235424526,7610586,80289792,81158656,169059034,3404483560.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,32,base_model.model.model.layers.16.self_attn.k_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315559895,2595225600,324634624,3235420119,7610586,80289792,81158656,169059034,3404479153.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,33,base_model.model.model.layers.16.self_attn.o_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315576396,2595225600,324634624,3235436620,7610586,80289792,81158656,169059034,3404495654.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,34,base_model.model.model.layers.16.self_attn.q_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315559643,2595225600,324634624,3235419867,7610586,80289792,81158656,169059034,3404478901.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,35,base_model.model.model.layers.16.self_attn.v_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315560208,2595225600,324634624,3235420432,7610586,80289792,81158656,169059034,3404479466.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,36,base_model.model.model.layers.17.self_attn.k_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315566673,2595225600,324634624,3235426897,7610586,80289792,81158656,169059034,3404485931.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,37,base_model.model.model.layers.17.self_attn.o_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315561031,2595225600,324634624,3235421255,7610586,80289792,81158656,169059034,3404480289.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,38,base_model.model.model.layers.17.self_attn.q_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315557920,2595225600,324634624,3235418144,7610586,80289792,81158656,169059034,3404477178.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,39,base_model.model.model.layers.17.self_attn.v_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315579711,2595225600,324634624,3235439935,7610586,80289792,81158656,169059034,3404498969.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,40,base_model.model.model.layers.18.self_attn.k_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315573579,2595225600,324634624,3235433803,7610586,80289792,81158656,169059034,3404492837.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,41,base_model.model.model.layers.18.self_attn.o_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315562022,2595225600,324634624,3235422246,7610586,80289792,81158656,169059034,3404481280.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,42,base_model.model.model.layers.18.self_attn.q_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315562599,2595225600,324634624,3235422823,7610586,80289792,81158656,169059034,3404481857.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,43,base_model.model.model.layers.18.self_attn.v_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315575471,2595225600,324634624,3235435695,7610586,80289792,81158656,169059034,3404494729.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,44,base_model.model.model.layers.19.self_attn.k_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315565387,2595225600,324634624,3235425611,7610586,80289792,81158656,169059034,3404484645.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,45,base_model.model.model.layers.19.self_attn.o_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315569091,2595225600,324634624,3235429315,7610586,80289792,81158656,169059034,3404488349.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,46,base_model.model.model.layers.19.self_attn.q_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315580603,2595225600,324634624,3235440827,7610586,80289792,81158656,169059034,3404499861.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,47,base_model.model.model.layers.19.self_attn.v_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315567084,2595225600,324634624,3235427308,7610586,80289792,81158656,169059034,3404486342.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,48,base_model.model.model.layers.2.self_attn.k_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315574484,2595225600,324634624,3235434708,7610586,80289792,81158656,169059034,3404493742.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,49,base_model.model.model.layers.2.self_attn.o_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315574401,2595225600,324634624,3235434625,7610586,80289792,81158656,169059034,3404493659.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,50,base_model.model.model.layers.2.self_attn.q_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315566422,2595225600,324634624,3235426646,7610586,80289792,81158656,169059034,3404485680.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,51,base_model.model.model.layers.2.self_attn.v_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315560555,2595225600,324634624,3235420779,7610586,80289792,81158656,169059034,3404479813.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,52,base_model.model.model.layers.20.self_attn.k_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315570314,2595225600,324634624,3235430538,7610586,80289792,81158656,169059034,3404489572.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,53,base_model.model.model.layers.20.self_attn.o_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315576723,2595225600,324634624,3235436947,7610586,80289792,81158656,169059034,3404495981.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,54,base_model.model.model.layers.20.self_attn.q_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315567027,2595225600,324634624,3235427251,7610586,80289792,81158656,169059034,3404486285.0
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,55,base_model.model.model.layers.20.self_attn.v_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,315579261,2595225600,324634624,3235439485,7610586,80289792,81158656,169059034,3404498519.0
