运行 ID,AB index,层/投影/AB 标识,方法,实验模式,部分加密比例,骨架优化,输出维度,输入维度,可行性,精度状态,备注,相对 Frobenius 误差,客户端加密秒,服务端聚合秒,客户端解密秒,CUR 秒,任务总耗时秒,上传合计字节,下发合计字节,聚合阶段总网络字节
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,0,base_model.model.model.layers.0.self_attn.k_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,0.00011955725599761264,0.34668342862278223,0.4600207060575485,0.04416363313794136,0.052655600011348724,2.7580263651907444,91214616,2396836,93611452.0
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,1,base_model.model.model.layers.0.self_attn.o_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,warning,外积 CKKS skeleton,0.0016108987893827375,0.32610557693988085,0.42983513697981834,0.040384210646152496,0.050661325454711914,2.6282550618052483,91211662,2396836,93608498.0
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,2,base_model.model.model.layers.0.self_attn.q_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,0.0003945019669068327,0.3237057561054826,0.44112125411629677,0.04384817183017731,0.05135858803987503,2.6400507986545563,91213471,2396836,93610307.0
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,3,base_model.model.model.layers.0.self_attn.v_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,0.00010607873250356378,0.3243328221142292,0.42997264862060547,0.040088653564453125,0.0535908117890358,2.647496934980154,91211362,2396836,93608198.0
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,4,base_model.model.model.layers.1.self_attn.k_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,0.00021330304232565028,0.32509854063391685,0.4301735498011112,0.043052610009908676,0.0540638267993927,2.770069234073162,91216170,2396836,93613006.0
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,5,base_model.model.model.layers.1.self_attn.o_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,0.0002835866944525939,0.33172524254769087,0.44241172075271606,0.04243592172861099,0.05815006420016289,2.702295482158661,91212341,2396836,93609177.0
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,6,base_model.model.model.layers.1.self_attn.q_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,0.00018109257906366363,0.32608962431550026,0.43118148297071457,0.04325670003890991,0.05910923331975937,2.6857672296464443,91218136,2396836,93614972.0
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,7,base_model.model.model.layers.1.self_attn.v_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,0.0002824198071569479,0.32409715559333563,0.4474065490067005,0.042281754314899445,0.05993998795747757,2.6973479613661766,91214101,2396836,93610937.0
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,8,base_model.model.model.layers.10.self_attn.k_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,0.0008951099596816529,0.3247433388605714,0.4332570917904377,0.04320954531431198,0.057105109095573425,2.683130767196417,91209577,2396836,93606413.0
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,9,base_model.model.model.layers.10.self_attn.o_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,0.00010590208352225093,0.32365598436445,0.433126263320446,0.0427304282784462,0.05880220606923103,2.671424061059952,91216698,2396836,93613534.0
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,10,base_model.model.model.layers.10.self_attn.q_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,warning,外积 CKKS skeleton,0.004105536998630934,0.32555445935577154,0.4432031363248825,0.044392094016075134,0.061418820172548294,2.7511913254857063,91219409,2396836,93616245.0
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,11,base_model.model.model.layers.10.self_attn.v_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,0.0006123025515788403,0.3324500862509012,0.4321060962975025,0.04017583653330803,0.06061677262187004,2.745956674218178,91213434,2396836,93610270.0
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,12,base_model.model.model.layers.11.self_attn.k_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,0.0005279355204411277,0.3226393796503544,0.4397042654454708,0.04373832046985626,0.0618491992354393,2.743807338178158,91216435,2396836,93613271.0
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,13,base_model.model.model.layers.11.self_attn.o_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,0.00022764101472571237,0.328463570214808,0.4309393987059593,0.04087403789162636,0.06035569682717323,2.708020146936178,91208938,2396836,93605774.0
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,14,base_model.model.model.layers.11.self_attn.q_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,0.0004280052072780474,0.3261418780311942,0.4498734883964062,0.051390718668699265,0.05976637080311775,2.721145171672106,91213247,2396836,93610083.0
