运行 ID,AB index,层/投影/AB 标识,方法,实验模式,部分加密比例,骨架优化,输出维度,输入维度,可行性,精度状态,备注,相对 Frobenius 误差,最大绝对误差,平均绝对误差,CKKS 直接结果误差,骨架行列误差,CUR 重建误差,密文区域误差,明文区域误差
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,0,base_model.model.model.layers.0.self_attn.k_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,0.00011955725599761264,1.0657799281920343e-07,6.887605148343733e-09,N/A,5.56749304345408e-06,0.00011955725599761264,0.00018606192061632686,0.00011831281183830912
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,1,base_model.model.model.layers.0.self_attn.o_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,warning,外积 CKKS skeleton,0.0016108987893827375,2.188059870431841e-06,7.37592182585346e-08,N/A,6.254021328746502e-06,0.0016108987893827375,0.002263159730153456,0.0015942190672506153
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,2,base_model.model.model.layers.0.self_attn.q_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,0.0003945019669068327,4.7551525861862036e-07,2.0358439170290674e-08,N/A,6.283753573625417e-06,0.0003945019669068327,0.00045703076252081004,0.0003934306114161675
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,3,base_model.model.model.layers.0.self_attn.v_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,0.00010607873250356378,3.2196998923935365e-07,4.541114337740847e-09,N/A,6.371931934094885e-06,0.00010607873250356378,0.00014149338198762282,0.00010522615062306262
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,4,base_model.model.model.layers.1.self_attn.k_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,0.00021330304232565028,1.8103574063723145e-07,9.942459015863322e-09,N/A,6.829173169053924e-06,0.00021330304232565028,0.00020530209778113102,0.00021351793809193923
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,5,base_model.model.model.layers.1.self_attn.o_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,0.0002835866944525939,3.470796658955322e-07,1.6477023246634782e-08,N/A,5.570175029849203e-06,0.0002835866944525939,0.00034683451608138137,0.0002822202285053296
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,6,base_model.model.model.layers.1.self_attn.q_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,0.00018109257906366363,1.9269030285918665e-07,9.487707032029985e-09,N/A,6.394748154207171e-06,0.00018109257906366363,0.0002820952726999804,0.00017805509988415527
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,7,base_model.model.model.layers.1.self_attn.v_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,0.0002824198071569479,1.2038647938780235e-06,1.4297217033441635e-08,N/A,6.5902217068246406e-06,0.0002824198071569479,0.00031691934366712805,0.0002818621648730268
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,8,base_model.model.model.layers.10.self_attn.k_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,0.0008951099596816529,6.880709033161138e-07,3.7757065304246985e-08,N/A,7.29705046191789e-06,0.0008951099596816529,0.0009128902897202148,0.0008947400227417145
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,9,base_model.model.model.layers.10.self_attn.o_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,0.00010590208352225093,1.6659976647887052e-07,8.11783719506623e-09,N/A,4.542614478936683e-06,0.00010590208352225093,0.00013361921450465432,0.00010523427618352454
