运行 ID,AB index,层/投影/AB 标识,方法,实验模式,部分加密比例,骨架优化,输出维度,输入维度,可行性,精度状态,备注,上传密文字节,上传明文字节,上传元数据字节,上传合计字节,下发密文字节,下发明文字节,下发元数据字节,下发合计字节,聚合阶段总网络字节
20260722-104135-real-d3200-outer-partial_AB-ratio25-skeleton,36,base_model.model.model.layers.17.self_attn.k_proj.lora.default,外积,partial_AB,25,开,3200,3200,可行,warning,外积 CKKS skeleton,112332130,19611648,1536128,133479906,2361903,459648,384032,3205583,136685489.0
20260722-104135-real-d3200-outer-partial_AB-ratio25-skeleton,15,base_model.model.model.layers.11.self_attn.v_proj.lora.default,外积,partial_AB,25,开,3200,3200,可行,warning,外积 CKKS skeleton,112328908,19611648,1536128,133476684,2361903,459648,384032,3205583,136682267.0
20260722-104135-real-d3200-outer-partial_AB-ratio25-skeleton,5,base_model.model.model.layers.1.self_attn.o_proj.lora.default,外积,partial_AB,25,开,3200,3200,可行,正常,外积 CKKS skeleton,112328358,19611648,1536128,133476134,2361903,459648,384032,3205583,136681717.0
20260722-104135-real-d3200-outer-partial_AB-ratio25-skeleton,80,base_model.model.model.layers.4.self_attn.k_proj.lora.default,外积,partial_AB,25,开,3200,3200,可行,正常,外积 CKKS skeleton,112327466,19611648,1536128,133475242,2361903,459648,384032,3205583,136680825.0
20260722-104135-real-d3200-outer-partial_AB-ratio25-skeleton,81,base_model.model.model.layers.4.self_attn.o_proj.lora.default,外积,partial_AB,25,开,3200,3200,可行,warning,外积 CKKS skeleton,112327359,19611648,1536128,133475135,2361903,459648,384032,3205583,136680718.0
20260722-104135-real-d3200-outer-partial_AB-ratio25-skeleton,64,base_model.model.model.layers.23.self_attn.k_proj.lora.default,外积,partial_AB,25,开,3200,3200,可行,warning,外积 CKKS skeleton,112326892,19611648,1536128,133474668,2361903,459648,384032,3205583,136680251.0
20260722-104135-real-d3200-outer-partial_AB-ratio25-skeleton,24,base_model.model.model.layers.14.self_attn.k_proj.lora.default,外积,partial_AB,25,开,3200,3200,可行,正常,外积 CKKS skeleton,112326087,19611648,1536128,133473863,2361903,459648,384032,3205583,136679446.0
20260722-104135-real-d3200-outer-partial_AB-ratio25-skeleton,63,base_model.model.model.layers.22.self_attn.v_proj.lora.default,外积,partial_AB,25,开,3200,3200,可行,warning,外积 CKKS skeleton,112326001,19611648,1536128,133473777,2361903,459648,384032,3205583,136679360.0
20260722-104135-real-d3200-outer-partial_AB-ratio25-skeleton,31,base_model.model.model.layers.15.self_attn.v_proj.lora.default,外积,partial_AB,25,开,3200,3200,可行,warning,外积 CKKS skeleton,112325909,19611648,1536128,133473685,2361903,459648,384032,3205583,136679268.0
20260722-104135-real-d3200-outer-partial_AB-ratio25-skeleton,102,base_model.model.model.layers.9.self_attn.q_proj.lora.default,外积,partial_AB,25,开,3200,3200,可行,正常,外积 CKKS skeleton,112325292,19611648,1536128,133473068,2361903,459648,384032,3205583,136678651.0
20260722-104135-real-d3200-outer-partial_AB-ratio25-skeleton,13,base_model.model.model.layers.11.self_attn.o_proj.lora.default,外积,partial_AB,25,开,3200,3200,可行,warning,外积 CKKS skeleton,112325285,19611648,1536128,133473061,2361903,459648,384032,3205583,136678644.0
20260722-104135-real-d3200-outer-partial_AB-ratio25-skeleton,58,base_model.model.model.layers.21.self_attn.q_proj.lora.default,外积,partial_AB,25,开,3200,3200,可行,warning,外积 CKKS skeleton,112325263,19611648,1536128,133473039,2361903,459648,384032,3205583,136678622.0
