运行 ID,AB index,层/投影/AB 标识,方法,实验模式,部分加密比例,骨架优化,输出维度,输入维度,可行性,精度状态,备注,上传密文字节,上传明文字节,上传元数据字节,上传合计字节,下发密文字节,下发明文字节,下发元数据字节,下发合计字节,聚合阶段总网络字节
20260722-104135-real-d3200-outer-partial_AB-ratio25-skeleton,0,base_model.model.model.layers.0.self_attn.k_proj.lora.default,外积,partial_AB,25,开,3200,3200,可行,正常,外积 CKKS skeleton,112309694,19611648,1536128,133457470,2361903,459648,384032,3205583,136663053.0
20260722-104135-real-d3200-outer-partial_AB-ratio25-skeleton,1,base_model.model.model.layers.0.self_attn.o_proj.lora.default,外积,partial_AB,25,开,3200,3200,可行,warning,外积 CKKS skeleton,112320795,19611648,1536128,133468571,2361903,459648,384032,3205583,136674154.0
20260722-104135-real-d3200-outer-partial_AB-ratio25-skeleton,2,base_model.model.model.layers.0.self_attn.q_proj.lora.default,外积,partial_AB,25,开,3200,3200,可行,warning,外积 CKKS skeleton,112324556,19611648,1536128,133472332,2361903,459648,384032,3205583,136677915.0
20260722-104135-real-d3200-outer-partial_AB-ratio25-skeleton,3,base_model.model.model.layers.0.self_attn.v_proj.lora.default,外积,partial_AB,25,开,3200,3200,可行,正常,外积 CKKS skeleton,112316597,19611648,1536128,133464373,2361903,459648,384032,3205583,136669956.0
20260722-104135-real-d3200-outer-partial_AB-ratio25-skeleton,4,base_model.model.model.layers.1.self_attn.k_proj.lora.default,外积,partial_AB,25,开,3200,3200,可行,正常,外积 CKKS skeleton,112322367,19611648,1536128,133470143,2361903,459648,384032,3205583,136675726.0
20260722-104135-real-d3200-outer-partial_AB-ratio25-skeleton,5,base_model.model.model.layers.1.self_attn.o_proj.lora.default,外积,partial_AB,25,开,3200,3200,可行,正常,外积 CKKS skeleton,112328358,19611648,1536128,133476134,2361903,459648,384032,3205583,136681717.0
20260722-104135-real-d3200-outer-partial_AB-ratio25-skeleton,6,base_model.model.model.layers.1.self_attn.q_proj.lora.default,外积,partial_AB,25,开,3200,3200,可行,正常,外积 CKKS skeleton,112316584,19611648,1536128,133464360,2361903,459648,384032,3205583,136669943.0
20260722-104135-real-d3200-outer-partial_AB-ratio25-skeleton,7,base_model.model.model.layers.1.self_attn.v_proj.lora.default,外积,partial_AB,25,开,3200,3200,可行,正常,外积 CKKS skeleton,112318279,19611648,1536128,133466055,2361903,459648,384032,3205583,136671638.0
20260722-104135-real-d3200-outer-partial_AB-ratio25-skeleton,8,base_model.model.model.layers.10.self_attn.k_proj.lora.default,外积,partial_AB,25,开,3200,3200,可行,warning,外积 CKKS skeleton,112324521,19611648,1536128,133472297,2361903,459648,384032,3205583,136677880.0
20260722-104135-real-d3200-outer-partial_AB-ratio25-skeleton,9,base_model.model.model.layers.10.self_attn.o_proj.lora.default,外积,partial_AB,25,开,3200,3200,可行,正常,外积 CKKS skeleton,112321214,19611648,1536128,133468990,2361903,459648,384032,3205583,136674573.0
