运行 ID,AB index,层/投影/AB 标识,方法,实验模式,部分加密比例,骨架优化,输出维度,输入维度,可行性,精度状态,备注,相对 Frobenius 误差,客户端加密秒,服务端聚合秒,客户端解密秒,CUR 秒,任务总耗时秒,上传合计字节,下发合计字节,聚合阶段总网络字节
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,0,base_model.model.model.layers.0.self_attn.k_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,7.945605783144648e-14,N/A,N/A,N/A,0.08520735800266266,0.842047855257988,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,1,base_model.model.model.layers.0.self_attn.o_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,6.180680479359375e-12,N/A,N/A,N/A,0.06636517494916916,0.8148147277534008,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,2,base_model.model.model.layers.0.self_attn.q_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,2.0769811478234318e-13,N/A,N/A,N/A,0.06563748046755791,0.8222806937992573,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,3,base_model.model.model.layers.0.self_attn.v_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,7.45942545771414e-14,N/A,N/A,N/A,0.06572984904050827,0.8191706947982311,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,4,base_model.model.model.layers.1.self_attn.k_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,1.4195430528371798e-14,N/A,N/A,N/A,0.06375709548592567,0.8082809746265411,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,5,base_model.model.model.layers.1.self_attn.o_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,2.6300950768612663e-13,N/A,N/A,N/A,0.06268060207366943,0.8634519800543785,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,6,base_model.model.model.layers.1.self_attn.q_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,6.429436915651939e-14,N/A,N/A,N/A,0.18730220571160316,1.375127762556076,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,7,base_model.model.model.layers.1.self_attn.v_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,6.494380825198028e-14,N/A,N/A,N/A,0.07641002908349037,0.9440130703151226,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,8,base_model.model.model.layers.10.self_attn.k_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,9.472072966727531e-14,N/A,N/A,N/A,0.06587037816643715,0.8082646541297436,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,9,base_model.model.model.layers.10.self_attn.o_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,4.017205621750242e-14,N/A,N/A,N/A,0.07320068031549454,0.814165223389864,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,10,base_model.model.model.layers.10.self_attn.q_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,4.900937708858774e-13,N/A,N/A,N/A,0.08308860287070274,0.8935802951455116,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,11,base_model.model.model.layers.10.self_attn.v_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,1.1216374439614101e-13,N/A,N/A,N/A,0.06553329527378082,0.8159351646900177,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,12,base_model.model.model.layers.11.self_attn.k_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,1.05197658071291e-13,N/A,N/A,N/A,0.0718265138566494,0.8110062219202518,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,13,base_model.model.model.layers.11.self_attn.o_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,5.710587485443262e-13,N/A,N/A,N/A,0.06527388840913773,0.8259886503219604,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,14,base_model.model.model.layers.11.self_attn.q_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,9.665029103100653e-15,N/A,N/A,N/A,0.0644364282488823,0.8297555521130562,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,15,base_model.model.model.layers.11.self_attn.v_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,1.427038499976053e-13,N/A,N/A,N/A,0.0639614500105381,0.8104741983115673,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,16,base_model.model.model.layers.12.self_attn.k_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,1.2583319231745824e-13,N/A,N/A,N/A,0.06966181099414825,0.7994847893714905,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,17,base_model.model.model.layers.12.self_attn.o_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,2.5372880169123244e-13,N/A,N/A,N/A,0.05756090208888054,0.8126608096063137,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,18,base_model.model.model.layers.12.self_attn.q_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,3.659488323407648e-14,N/A,N/A,N/A,0.0642966479063034,0.8135668784379959,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,19,base_model.model.model.layers.12.self_attn.v_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,1.7305373754663129e-12,N/A,N/A,N/A,0.06498739123344421,0.8166717477142811,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,20,base_model.model.model.layers.13.self_attn.k_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,3.2339280303935196e-14,N/A,N/A,N/A,0.17032815888524055,1.2112154141068459,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,21,base_model.model.model.layers.13.self_attn.o_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,1.3926260711750127e-13,N/A,N/A,N/A,0.07180449366569519,0.8417586870491505,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,22,base_model.model.model.layers.13.self_attn.q_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,2.3705003165513154e-14,N/A,N/A,N/A,0.06439642980694771,0.861441258341074,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,23,base_model.model.model.layers.13.self_attn.v_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,4.799312275814623e-13,N/A,N/A,N/A,0.06365138292312622,0.8410837575793266,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,24,base_model.model.model.layers.14.self_attn.k_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,2.5515177035517426e-14,N/A,N/A,N/A,0.06411686167120934,0.8349548503756523,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,25,base_model.model.model.layers.14.self_attn.o_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,1.1080479790558098e-14,N/A,N/A,N/A,0.061630357056856155,0.8299135752022266,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,26,base_model.model.model.layers.14.self_attn.q_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,1.1310729471391659e-13,N/A,N/A,N/A,0.060335155576467514,0.8178948871791363,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,27,base_model.model.model.layers.14.self_attn.v_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,3.818616166697443e-14,N/A,N/A,N/A,0.06787769868969917,0.8208169564604759,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,28,base_model.model.model.layers.15.self_attn.k_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,2.6189090628700252e-14,N/A,N/A,N/A,0.058735739439725876,0.7989639155566692,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,29,base_model.model.model.layers.15.self_attn.o_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,9.0021354620171e-14,N/A,N/A,N/A,0.061324577778577805,0.7968867719173431,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,30,base_model.model.model.layers.15.self_attn.q_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,3.5697994582119726e-14,N/A,N/A,N/A,0.06290983781218529,0.7926550172269344,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,31,base_model.model.model.layers.15.self_attn.v_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,1.656257746429355e-12,N/A,N/A,N/A,0.06186169385910034,0.7879953384399414,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,32,base_model.model.model.layers.16.self_attn.k_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,6.651071607256861e-14,N/A,N/A,N/A,0.058919377624988556,0.8045558854937553,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,33,base_model.model.model.layers.16.self_attn.o_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,2.2216219702145766e-14,N/A,N/A,N/A,0.07484766468405724,0.808675367385149,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,34,base_model.model.model.layers.16.self_attn.q_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,4.845952786900079e-14,N/A,N/A,N/A,0.062353648245334625,0.7998149767518044,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,35,base_model.model.model.layers.16.self_attn.v_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,3.9579774287746175e-14,N/A,N/A,N/A,0.06371375545859337,0.8157823160290718,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,36,base_model.model.model.layers.17.self_attn.k_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,1.2002196156292475e-13,N/A,N/A,N/A,0.0626559741795063,0.8173744864761829,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,37,base_model.model.model.layers.17.self_attn.o_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,2.2530473463394907e-14,N/A,N/A,N/A,0.06367291137576103,0.8141274265944958,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,38,base_model.model.model.layers.17.self_attn.q_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,1.2497741184324256e-13,N/A,N/A,N/A,0.061594292521476746,0.8395206891000271,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,39,base_model.model.model.layers.17.self_attn.v_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,1.2816586298972782e-12,N/A,N/A,N/A,0.06839621812105179,0.8266662321984768,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,40,base_model.model.model.layers.18.self_attn.k_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,6.478724876299997e-14,N/A,N/A,N/A,0.06366550177335739,0.8679194785654545,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,41,base_model.model.model.layers.18.self_attn.o_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,2.181815544849238e-13,N/A,N/A,N/A,0.059874821454286575,0.8188961781561375,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,42,base_model.model.model.layers.18.self_attn.q_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,3.4034856092272635e-14,N/A,N/A,N/A,0.06337326765060425,0.8164367079734802,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,43,base_model.model.model.layers.18.self_attn.v_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,3.5261884598206984e-13,N/A,N/A,N/A,0.06659317016601562,0.8280540592968464,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,44,base_model.model.model.layers.19.self_attn.k_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,1.4513910677049094e-14,N/A,N/A,N/A,0.04984528571367264,0.8308381550014019,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,45,base_model.model.model.layers.19.self_attn.o_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,9.243091553966235e-14,N/A,N/A,N/A,0.06360221654176712,0.8092597238719463,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,46,base_model.model.model.layers.19.self_attn.q_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,1.3251739609752482e-14,N/A,N/A,N/A,0.08039537072181702,0.863515242934227,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,47,base_model.model.model.layers.19.self_attn.v_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,3.3837613925862244e-14,N/A,N/A,N/A,0.10900481790304184,1.1653460673987865,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,48,base_model.model.model.layers.2.self_attn.k_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,5.2010156235114775e-14,N/A,N/A,N/A,0.0624043308198452,0.8198227323591709,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,49,base_model.model.model.layers.2.self_attn.o_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,8.710123900564594e-13,N/A,N/A,N/A,0.057820674031972885,0.7781238071620464,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,50,base_model.model.model.layers.2.self_attn.q_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,4.2069449048243984e-14,N/A,N/A,N/A,0.0658673606812954,0.8117242120206356,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,51,base_model.model.model.layers.2.self_attn.v_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,6.064237295895737e-13,N/A,N/A,N/A,0.0631212666630745,0.8011280745267868,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,52,base_model.model.model.layers.20.self_attn.k_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,6.388275248817659e-14,N/A,N/A,N/A,0.06218249723315239,0.7932127378880978,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,53,base_model.model.model.layers.20.self_attn.o_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,1.0320611631885748e-12,N/A,N/A,N/A,0.06273769587278366,0.8055302873253822,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,54,base_model.model.model.layers.20.self_attn.q_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,2.193587001613783e-14,N/A,N/A,N/A,0.0642215684056282,0.7953533045947552,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,55,base_model.model.model.layers.20.self_attn.v_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,2.934667801595796e-13,N/A,N/A,N/A,0.06603921577334404,0.8020025938749313,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,56,base_model.model.model.layers.21.self_attn.k_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,2.0403372924293803e-14,N/A,N/A,N/A,0.06378714367747307,0.8044114373624325,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,57,base_model.model.model.layers.21.self_attn.o_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,1.14919882410792e-11,N/A,N/A,N/A,0.06388000398874283,0.8078621849417686,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,58,base_model.model.model.layers.21.self_attn.q_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,6.75796295839703e-13,N/A,N/A,N/A,0.06443667411804199,0.8055011630058289,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,59,base_model.model.model.layers.21.self_attn.v_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,4.0534747993633984e-13,N/A,N/A,N/A,0.06321398168802261,0.803791668266058,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,60,base_model.model.model.layers.22.self_attn.k_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,6.436831881149588e-15,N/A,N/A,N/A,0.0646909587085247,0.8430282697081566,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,61,base_model.model.model.layers.22.self_attn.o_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,6.179767035944783e-14,N/A,N/A,N/A,0.06426950916647911,0.82473074644804,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,62,base_model.model.model.layers.22.self_attn.q_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,1.8797643392704018e-13,N/A,N/A,N/A,0.06443843245506287,0.8239250034093857,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,63,base_model.model.model.layers.22.self_attn.v_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,5.618173849274203e-10,N/A,N/A,N/A,0.0645652748644352,0.8231650367379189,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,64,base_model.model.model.layers.23.self_attn.k_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,3.6146662664435665e-14,N/A,N/A,N/A,0.06855977326631546,0.8657552525401115,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,65,base_model.model.model.layers.23.self_attn.o_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,1.5422130690764738e-13,N/A,N/A,N/A,0.046383749693632126,1.0976564139127731,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,66,base_model.model.model.layers.23.self_attn.q_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,4.1249904255583636e-13,N/A,N/A,N/A,0.06412189453840256,0.8195412307977676,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,67,base_model.model.model.layers.23.self_attn.v_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,1.1217176396877965e-13,N/A,N/A,N/A,0.06390300393104553,0.8043401688337326,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,68,base_model.model.model.layers.24.self_attn.k_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,5.6047793428638e-14,N/A,N/A,N/A,0.06456628069281578,0.8053110092878342,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,69,base_model.model.model.layers.24.self_attn.o_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,6.01185102761564e-13,N/A,N/A,N/A,0.07206233590841293,0.8223907724022865,N/A,N/A,N/A
