运行 ID,AB index,层/投影/AB 标识,方法,实验模式,部分加密比例,骨架优化,输出维度,输入维度,可行性,精度状态,备注,相对 Frobenius 误差,最大绝对误差,平均绝对误差,CKKS 直接结果误差,骨架行列误差,CUR 重建误差,密文区域误差,明文区域误差
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,63,base_model.model.model.layers.22.self_attn.v_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,5.618173849274203e-10,1.1596213355877238e-12,4.510652816185883e-14,N/A,4.658612821555439e-10,5.618173849274203e-10,N/A,5.618173849274203e-10
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,57,base_model.model.model.layers.21.self_attn.o_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,1.14919882410792e-11,2.5158477731657136e-14,9.591688755028939e-16,N/A,1.104451817313728e-11,1.14919882410792e-11,N/A,1.14919882410792e-11
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,87,base_model.model.model.layers.5.self_attn.v_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,1.0444039382910992e-11,3.9321193870400784e-14,7.128347346584699e-16,N/A,9.577761229097514e-12,1.0444039382910992e-11,N/A,1.0444039382910992e-11
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,94,base_model.model.model.layers.7.self_attn.q_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,7.669284331023407e-12,6.6139043027046984e-15,3.6712605232794533e-16,N/A,7.798793123507348e-12,7.669284331023407e-12,N/A,7.669284331023407e-12
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,81,base_model.model.model.layers.4.self_attn.o_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,7.006778077359412e-12,1.1477472618148798e-14,5.097517921185841e-16,N/A,7.741318099289897e-12,7.006778077359412e-12,N/A,7.006778077359412e-12
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,83,base_model.model.model.layers.4.self_attn.v_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,6.370420858401362e-12,1.763237993113176e-14,3.634130938134236e-16,N/A,7.319795840673964e-12,6.370420858401362e-12,N/A,6.370420858401362e-12
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,1,base_model.model.model.layers.0.self_attn.o_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,6.180680479359375e-12,1.0497137013787405e-14,2.8572862291412655e-16,N/A,5.539863888908657e-12,6.180680479359375e-12,N/A,6.180680479359375e-12
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,19,base_model.model.model.layers.12.self_attn.v_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,1.7305373754663129e-12,3.880034314673875e-15,1.3557081635293982e-16,N/A,1.7309350510184498e-12,1.7305373754663129e-12,N/A,1.7305373754663129e-12
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,31,base_model.model.model.layers.15.self_attn.v_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,1.656257746429355e-12,1.9567680809018384e-15,9.743515030027336e-17,N/A,1.5361729762071158e-12,1.656257746429355e-12,N/A,1.656257746429355e-12
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,91,base_model.model.model.layers.6.self_attn.v_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,1.4192594837410147e-12,6.258665460889823e-15,8.611485553619901e-17,N/A,1.2743642115729499e-12,1.4192594837410147e-12,N/A,1.4192594837410147e-12
