运行 ID,AB index,层/投影/AB 标识,方法,实验模式,部分加密比例,骨架优化,输出维度,输入维度,可行性,精度状态,备注,客户端加密秒,服务端聚合秒,客户端解密秒,CUR 秒,任务总耗时秒
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,6,base_model.model.model.layers.1.self_attn.q_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,N/A,N/A,N/A,0.18730220571160316,1.375127762556076
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,20,base_model.model.model.layers.13.self_attn.k_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,N/A,N/A,N/A,0.17032815888524055,1.2112154141068459
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,101,base_model.model.model.layers.9.self_attn.o_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,N/A,N/A,N/A,0.11106681823730469,1.1723168827593327
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,47,base_model.model.model.layers.19.self_attn.v_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,N/A,N/A,N/A,0.10900481790304184,1.1653460673987865
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,65,base_model.model.model.layers.23.self_attn.o_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,N/A,N/A,N/A,0.046383749693632126,1.0976564139127731
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,83,base_model.model.model.layers.4.self_attn.v_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,N/A,N/A,N/A,0.07572587579488754,1.0672728009521961
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,7,base_model.model.model.layers.1.self_attn.v_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,N/A,N/A,N/A,0.07641002908349037,0.9440130703151226
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,10,base_model.model.model.layers.10.self_attn.q_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,N/A,N/A,N/A,0.08308860287070274,0.8935802951455116
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,40,base_model.model.model.layers.18.self_attn.k_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,N/A,N/A,N/A,0.06366550177335739,0.8679194785654545
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,64,base_model.model.model.layers.23.self_attn.k_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,N/A,N/A,N/A,0.06855977326631546,0.8657552525401115
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,46,base_model.model.model.layers.19.self_attn.q_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,N/A,N/A,N/A,0.08039537072181702,0.863515242934227
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,5,base_model.model.model.layers.1.self_attn.o_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,N/A,N/A,N/A,0.06268060207366943,0.8634519800543785
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,22,base_model.model.model.layers.13.self_attn.q_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,N/A,N/A,N/A,0.06439642980694771,0.861441258341074
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,82,base_model.model.model.layers.4.self_attn.q_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,N/A,N/A,N/A,0.0692492164671421,0.8533996529877186
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,60,base_model.model.model.layers.22.self_attn.k_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,N/A,N/A,N/A,0.0646909587085247,0.8430282697081566
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,0,base_model.model.model.layers.0.self_attn.k_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,N/A,N/A,N/A,0.08520735800266266,0.842047855257988
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,21,base_model.model.model.layers.13.self_attn.o_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,N/A,N/A,N/A,0.07180449366569519,0.8417586870491505
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,23,base_model.model.model.layers.13.self_attn.v_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,N/A,N/A,N/A,0.06365138292312622,0.8410837575793266
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,80,base_model.model.model.layers.4.self_attn.k_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,N/A,N/A,N/A,0.06397851929068565,0.8397919684648514
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,38,base_model.model.model.layers.17.self_attn.q_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,N/A,N/A,N/A,0.061594292521476746,0.8395206891000271
