运行 ID,AB index,层/投影/AB 标识,方法,实验模式,部分加密比例,骨架优化,输出维度,输入维度,可行性,精度状态,备注,相对 Frobenius 误差,最大绝对误差,平均绝对误差,CKKS 直接结果误差,骨架行列误差,CUR 重建误差,密文区域误差,明文区域误差
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,0,base_model.model.model.layers.0.self_attn.k_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,7.945605783144648e-14,8.803721640582296e-17,4.391585823343272e-18,N/A,7.496439538116942e-14,7.945605783144648e-14,N/A,7.945605783144648e-14
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,1,base_model.model.model.layers.0.self_attn.o_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,6.180680479359375e-12,1.0497137013787405e-14,2.8572862291412655e-16,N/A,5.539863888908657e-12,6.180680479359375e-12,N/A,6.180680479359375e-12
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,2,base_model.model.model.layers.0.self_attn.q_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,2.0769811478234318e-13,1.9403830755701512e-16,1.1846648268074204e-17,N/A,2.0795001147155353e-13,2.0769811478234318e-13,N/A,2.0769811478234318e-13
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,3,base_model.model.model.layers.0.self_attn.v_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,7.45942545771414e-14,9.437979911486316e-17,3.527580759041906e-18,N/A,7.689509549831135e-14,7.45942545771414e-14,N/A,7.45942545771414e-14
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,4,base_model.model.model.layers.1.self_attn.k_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,1.4195430528371798e-14,1.6398557858843255e-17,7.086202372376032e-19,N/A,1.3169153333905996e-14,1.4195430528371798e-14,N/A,1.4195430528371798e-14
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,5,base_model.model.model.layers.1.self_attn.o_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,2.6300950768612663e-13,4.2243227145466467e-16,1.428198854173075e-17,N/A,2.59579944008014e-13,2.6300950768612663e-13,N/A,2.6300950768612663e-13
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,6,base_model.model.model.layers.1.self_attn.q_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,6.429436915651939e-14,5.193328406205566e-17,3.509542621247339e-18,N/A,5.916661132327926e-14,6.429436915651939e-14,N/A,6.429436915651939e-14
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,7,base_model.model.model.layers.1.self_attn.v_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,6.494380825198028e-14,8.814563662307151e-17,3.629775520546604e-18,N/A,5.758830706593587e-14,6.494380825198028e-14,N/A,6.494380825198028e-14
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,8,base_model.model.model.layers.10.self_attn.k_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,9.472072966727531e-14,9.046989503033731e-17,4.143143382135327e-18,N/A,8.521710283054948e-14,9.472072966727531e-14,N/A,9.472072966727531e-14
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,9,base_model.model.model.layers.10.self_attn.o_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,4.017205621750242e-14,8.315830662963819e-17,3.139575960072494e-18,N/A,3.202495385819738e-14,4.017205621750242e-14,N/A,4.017205621750242e-14
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,10,base_model.model.model.layers.10.self_attn.q_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,4.900937708858774e-13,4.882704483788469e-16,2.0372329643799317e-17,N/A,4.4276853145531013e-13,4.900937708858774e-13,N/A,4.900937708858774e-13
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,11,base_model.model.model.layers.10.self_attn.v_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,1.1216374439614101e-13,1.5027042110649091e-16,7.179875956761783e-18,N/A,9.581885719808735e-14,1.1216374439614101e-13,N/A,1.1216374439614101e-13
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,12,base_model.model.model.layers.11.self_attn.k_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,1.05197658071291e-13,1.267703390178676e-16,5.1408820118320974e-18,N/A,1.0779711931717725e-13,1.05197658071291e-13,N/A,1.05197658071291e-13
