方法,打包方式,加密程度,骨架优化,客户端加密秒,客户端解密秒,服务端聚合秒,单次上传MB,单次下载MB,总网络MB,误差,可行性,备注
外积,packed,full,开,0.064021,0.000784,0.098612,5.1003,0.2503,21.4022,1.252e-05,可行,骨架 CUR 重建
外积,packed,full,关,0.034249,0.000481,0.049466,2.5498,0.1251,10.6998,1.096e-06,可行,完整重建
外积,packed,half,开,0.0323,0.000659,0.050309,2.613,0.2503,11.453,1.938e-05,可行,骨架 CUR 重建
外积,packed,half,关,0.017303,0.000465,0.023559,1.4001,0.1251,6.101,1.075e-06,可行,完整重建
外积,unpacked,full,开,0.992809,0.009131,1.550417,81.6179,4.0044,342.4893,1.424e-05,可行,骨架 CUR 重建
外积,unpacked,full,关,2.06038,0.019899,3.122766,163.2209,8.0088,684.9186,1.137e-06,可行,完整重建
外积,unpacked,half,开,0.541985,0.008647,0.747554,40.8716,4.0044,179.5039,1.425e-05,可行,骨架 CUR 重建
外积,unpacked,half,关,1.038518,0.017578,1.413511,81.7405,8.0088,358.9972,1.114e-06,可行,完整重建
内积,packed,full,开,0.0,0.0,0.0,0.0,0.0,0.0,N/A,不可行,full 加密 ct×ct 无块内求和手段，块对角打包不可行
内积,packed,full,关,0.0,0.0,0.0,0.0,0.0,0.0,N/A,不可行,full 加密 ct×ct 无块内求和手段，块对角打包不可行
内积,packed,half,开,0.021329,0.019197,1.609011,1.5959,3.8156,21.646,1.036e-05,可行,块对角打包
内积,packed,half,关,0.020917,0.001388,1.460829,1.5958,0.2244,7.2812,2.965e-07,可行,块对角打包
内积,unpacked,full,开,0.547771,0.007759,30.910432,40.81,4.0044,179.2576,9.883e-04,可行,逐列不打包
内积,unpacked,full,关,0.515007,0.017915,61.262633,40.8056,8.0088,195.2575,2.645e-05,可行,逐列不打包
内积,unpacked,half,开,0.276825,0.031402,0.828407,21.6827,7.1827,115.4618,1.080e-05,可行,逐列不打包
内积,unpacked,half,关,0.278953,0.062406,2.79328,21.6799,14.3654,144.1813,2.810e-07,可行,逐列不打包
