方法,打包方式,加密程度,骨架优化,客户端加密秒,客户端解密秒,服务端聚合秒,单次上传MB,单次下载MB,总网络MB,误差,可行性,备注
外积,packed,full,开,0.0632,0.000805,0.103607,5.1004,0.2503,21.4028,1.046e-03,可行,骨架 CUR 重建
外积,packed,full,关,0.033926,0.000458,0.051459,2.5497,0.1251,10.6993,4.685e-05,可行,完整重建
外积,packed,half,开,0.032535,0.000664,0.045874,2.6133,0.2503,11.4541,1.601e-03,可行,骨架 CUR 重建
外积,packed,half,关,0.017633,0.000434,0.025413,1.3995,0.1251,6.0984,4.696e-05,可行,完整重建
外积,unpacked,full,开,0.993205,0.009001,1.60184,81.6077,4.0044,342.4485,2.119e-03,可行,骨架 CUR 重建
外积,unpacked,full,关,2.067038,0.018027,3.098299,163.2245,8.0088,684.9331,4.515e-05,可行,完整重建
外积,unpacked,half,开,0.568694,0.014869,0.820046,40.8658,4.0044,179.4808,1.277e-03,可行,骨架 CUR 重建
外积,unpacked,half,关,1.094163,0.020641,1.609361,81.7388,8.0088,358.9903,4.527e-05,可行,完整重建
内积,packed,full,开,0.0,0.0,0.0,0.0,0.0,0.0,N/A,不可行,full 加密 ct×ct 无块内求和手段，块对角打包不可行
内积,packed,full,关,0.0,0.0,0.0,0.0,0.0,0.0,N/A,不可行,full 加密 ct×ct 无块内求和手段，块对角打包不可行
内积,packed,half,开,0.004969,0.002399,2.810454,0.3209,0.4489,3.0792,4.712e-04,可行,块对角打包
内积,packed,half,关,0.004476,0.001893,1.452887,0.3207,0.2244,2.1804,1.655e-05,可行,块对角打包
内积,unpacked,full,开,0.549964,0.00963,31.122233,40.8074,4.0044,179.2471,1.005e-02,可行,逐列不打包
内积,unpacked,full,关,0.532972,0.019586,61.610119,40.8033,8.0088,195.2485,9.843e-04,可行,逐列不打包
内积,unpacked,half,开,0.272703,0.032609,0.848587,21.6766,7.1824,115.4361,5.054e-04,可行,逐列不打包
内积,unpacked,half,关,0.281842,0.067192,2.83976,21.6805,14.3658,144.1853,1.672e-05,可行,逐列不打包
