方法,打包方式,加密程度,骨架优化,客户端加密秒,客户端解密秒,服务端聚合秒,单次上传MB,单次下载MB,总网络MB,误差,可行性,备注
外积,packed,full,开,0.0,0.0,0.0,0.0,0.0,0.0,N/A,不可行,外积/packed dim=3200：单次上传≈8.2GB，N 客户端同时驻留内存约 33GB，普通开发机 OOM
外积,packed,full,关,0.0,0.0,0.0,0.0,0.0,0.0,N/A,不可行,外积/packed dim=3200：单次上传≈8.2GB，N 客户端同时驻留内存约 33GB，普通开发机 OOM
外积,packed,half,开,0.0,0.0,0.0,0.0,0.0,0.0,N/A,不可行,外积/packed dim=3200：单次上传≈8.2GB，N 客户端同时驻留内存约 33GB，普通开发机 OOM
外积,packed,half,关,0.0,0.0,0.0,0.0,0.0,0.0,N/A,不可行,外积/packed dim=3200：单次上传≈8.2GB，N 客户端同时驻留内存约 33GB，普通开发机 OOM
外积,unpacked,full,开,0.0,0.0,0.0,0.0,0.0,0.0,N/A,不可行,外积/unpacked dim=3200：单次上传≈8.2GB，N 客户端同时驻留内存约 33GB，普通开发机 OOM
外积,unpacked,full,关,0.0,0.0,0.0,0.0,0.0,0.0,N/A,不可行,外积/unpacked dim=3200：单次上传≈8.2GB，N 客户端同时驻留内存约 33GB，普通开发机 OOM
外积,unpacked,half,开,0.0,0.0,0.0,0.0,0.0,0.0,N/A,不可行,外积/unpacked dim=3200：单次上传≈8.2GB，N 客户端同时驻留内存约 33GB，普通开发机 OOM
外积,unpacked,half,关,0.0,0.0,0.0,0.0,0.0,0.0,N/A,不可行,外积/unpacked dim=3200：单次上传≈8.2GB，N 客户端同时驻留内存约 33GB，普通开发机 OOM
内积,packed,full,开,0.0,0.0,0.0,0.0,0.0,0.0,N/A,不可行,full 加密 ct×ct 无块内求和手段，块对角打包不可行
内积,packed,full,关,0.0,0.0,0.0,0.0,0.0,0.0,N/A,不可行,full 加密 ct×ct 无块内求和手段，块对角打包不可行
内积,packed,half,开,12.509186,0.031007,0.862102,1021.5363,7.1824,4114.8751,1.611e-03,可行,块对角打包
内积,packed,half,关,12.992903,3.205737,146.915415,1021.5513,718.2642,6959.262,1.649e-05,可行,块对角打包
内积,unpacked,full,开,0.0,0.0,0.0,0.0,0.0,0.0,N/A,不可行,内积 unpacked full dim=3200：d²·N 次 ct×ct dot 数十小时，超预算
内积,unpacked,full,关,0.0,0.0,0.0,0.0,0.0,0.0,N/A,不可行,内积 unpacked full dim=3200：d²·N 次 ct×ct dot 数十小时，超预算
内积,unpacked,half,开,12.682279,0.031081,0.833641,1021.5208,7.1829,4114.8147,9.615e-04,可行,逐列不打包
内积,unpacked,half,关,12.741882,3.218771,146.139003,1021.5574,718.2646,6959.288,1.649e-05,可行,逐列不打包
